# step rho_core(r<5) rho_core(r<10) rho_core(r<15) total_norm
1370 0.130371 0.35583 0.551455 0.999569
1380 0.129551 0.354875 0.550429 0.999564
1390 0.128655 0.353902 0.549396 0.999563
1400 0.127685 0.352913 0.548359 0.99956
1410 0.126647 0.351909 0.54732 0.999555
1420 0.125546 0.350889 0.546281 0.999553
1430 0.124387 0.349853 0.545242 0.999549
1440 0.123176 0.348798 0.544203 0.999546
1450 0.121917 0.347722 0.543161 0.999547
1460 0.120616 0.346625 0.542115 0.999541
1470 0.119275 0.345506 0.541062 0.999538
1480 0.117898 0.344366 0.539999 0.999535
1490 0.116485 0.343207 0.538925 0.999531
1500 0.115036 0.342031 0.537837 0.999527
1510 0.113551 0.340839 0.536733 0.999525
1520 0.112027 0.339634 0.535611 0.999523
1530 0.110466 0.338414 0.53447 0.999519
1540 0.108865 0.337182 0.53331 0.999514
1550 0.107225 0.335935 0.532128 0.999513
1560 0.105548 0.334672 0.530924 0.999509
1570 0.103836 0.333393 0.529701 0.999507
1580 0.102095 0.332095 0.528457 0.999504
1590 0.100327 0.330775 0.527195 0.9995
1600 0.0985401 0.329431 0.525915 0.999497
1610 0.0967377 0.328061 0.524621 0.999494
1620 0.0949248 0.32666 0.523313 0.999489
1630 0.0931054 0.325225 0.521992 0.999488
1640 0.0912829 0.323753 0.52066 0.999483
1650 0.0894598 0.322243 0.519318 0.999481
1660 0.0876379 0.320694 0.517967 0.999478
1670 0.0858184 0.319104 0.516605 0.999476
1680 0.0840025 0.317477 0.515233 0.999472
1690 0.0821909 0.315813 0.51385 0.999468
1700 0.0803844 0.314114 0.512454 0.999465
1710 0.0785843 0.312383 0.511042 0.999462
1720 0.0767917 0.310619 0.509611 0.999459
1730 0.0750083 0.308826 0.508159 0.999454
1740 0.0732362 0.307003 0.506684 0.999454
1750 0.0714779 0.305151 0.505185 0.999451
1760 0.0697365 0.303273 0.503661 0.999447
1770 0.0680151 0.301369 0.502117 0.999445
1780 0.0663173 0.299441 0.500554 0.999439
1790 0.0646467 0.29749 0.498977 0.999436
1800 0.0630068 0.295518 0.49739 0.999435
1810 0.0614008 0.293524 0.495794 0.99943
1820 0.0598313 0.291508 0.494194 0.999426
1830 0.0583004 0.289467 0.492589 0.999424
1840 0.0568091 0.2874 0.490976 0.999421
1850 0.0553577 0.285302 0.489354 0.999419
1860 0.0539458 0.283172 0.48772 0.999416
1870 0.0525723 0.281006 0.48607 0.999412
1880 0.0512357 0.278801 0.4844 0.99941
1890 0.0499347 0.276554 0.482709 0.999406
1900 0.0486679 0.274264 0.480995 0.999403
1910 0.0474346 0.271926 0.479257 0.999399
1920 0.0462348 0.269535 0.477495 0.999394
1930 0.0450696 0.26709 0.475709 0.999391
1940 0.043941 0.264585 0.473898 0.999389
1950 0.0428522 0.262018 0.472064 0.999388
1960 0.041807 0.259387 0.470209 0.999382
1970 0.04081 0.256691 0.468331 0.99938
