# x y rho R
104 1 4.02365e-05 1
105 1 5.67099e-05 1
106 1 7.65849e-05 1
107 1 0.000100942 1
108 1 0.000131033 1
109 1 0.000170812 1
110 1 0.000217804 1
111 1 0.000262537 1
112 1 0.000304587 1
113 1 0.000317761 1
114 1 0.000263864 1
115 1 0.000174384 1
116 1 0.000104062 1
117 1 5.94454e-05 1
118 1 3.14456e-05 1
119 1 2.89833e-05 1
120 1 6.17367e-05 1
121 1 0.000110046 1
122 1 0.000150223 1
123 1 0.000193225 1
124 1 0.000276901 1
125 1 0.000416464 1
126 1 0.000531243 1
127 1 0.000563058 1
0 2 0.00061307 1
1 2 0.000578167 1
2 2 0.000541537 1
3 2 0.000478417 1
4 2 0.00037924 1
5 2 0.000273429 1
6 2 0.000188689 1
7 2 0.000125576 1
8 2 7.68836e-05 1
9 2 4.39016e-05 1
10 2 2.3924e-05 1
11 2 1.23946e-05 1
12 2 6.94382e-06 1
13 2 4.97283e-06 1
14 2 5.10438e-06 1
15 2 5.98953e-06 1
16 2 7.06447e-06 1
17 2 8.49457e-06 1
18 2 9.28769e-06 1
19 2 9.34136e-06 1
20 2 9.1358e-06 1
21 2 7.81254e-06 1
22 2 4.73772e-06 1
23 2 2.1104e-06 1
24 2 1.42596e-06 1
25 2 2.0236e-06 1
26 2 2.68249e-06 1
27 2 2.45886e-06 1
28 2 1.85591e-06 1
29 2 1.41424e-06 1
30 2 9.63171e-07 1
31 2 5.18935e-07 1
32 2 2.56358e-07 1
33 2 1.63629e-07 1
34 2 1.25166e-07 1
35 2 1.04452e-07 1
36 2 1.64992e-07 1
37 2 3.90021e-07 1
38 2 7.71662e-07 1
39 2 1.21174e-06 1
40 2 1.64334e-06 1
41 2 2.05449e-06 1
42 2 2.38136e-06 1
43 2 2.6626e-06 1
44 2 2.97419e-06 1
45 2 3.2997e-06 1
46 2 3.49879e-06 1
47 2 3.52383e-06 1
48 2 3.4665e-06 1
49 2 3.47148e-06 1
50 2 3.56498e-06 1
51 2 3.7209e-06 1
52 2 3.91655e-06 1
53 2 4.22123e-06 1
54 2 4.69363e-06 1
55 2 5.36324e-06 1
56 2 6.1616e-06 1
57 2 7.00453e-06 1
58 2 7.78925e-06 1
59 2 8.48331e-06 1
60 2 9.07528e-06 1
61 2 9.61347e-06 1
62 2 1.01271e-05 1
63 2 1.06502e-05 1
64 2 1.11869e-05 1
65 2 1.17456e-05 1
66 2 1.23118e-05 1
67 2 1.28903e-05 1
68 2 1.34687e-05 1
69 2 1.40614e-05 1
70 2 1.4664e-05 1
71 2 1.52924e-05 1
72 2 1.59329e-05 1
73 2 1.65879e-05 1
74 2 1.72125e-05 1
75 2 1.7789e-05 1
76 2 1.82586e-05 1
77 2 1.85833e-05 1
78 2 1.8661e-05 1
79 2 1.84047e-05 1
80 2 1.77009e-05 1
81 2 1.65438e-05 1
82 2 1.50149e-05 1
83 2 1.33805e-05 1
84 2 1.19558e-05 1
85 2 1.11903e-05 1
86 2 1.15787e-05 1
87 2 1.35607e-05 1
88 2 1.7261e-05 1
89 2 2.24722e-05 1
90 2 2.85127e-05 1
91 2 3.40473e-05 1
92 2 3.72212e-05 1
93 2 3.67145e-05 1
94 2 3.29097e-05 1
95 2 2.75236e-05 1
96 2 2.27687e-05 1
