# R rho
1 6.75566e-05
1 9.32428e-05
1 0.000128222
1 0.000174748
1 0.000221133
1 0.000258484
1 0.000293419
1 0.000314343
1 0.000305523
1 0.000266043
1 0.000176619
1 8.21706e-05
1 3.40501e-05
1 2.94374e-05
1 4.10249e-05
1 4.82445e-05
1 7.20394e-05
1 0.000123128
1 0.000180789
1 0.000236545
1 0.000345635
1 0.00052487
1 0.00062985
1 0.000651688
1 0.000569817
1 0.000510014
1 0.000445933
1 0.000363327
1 0.000271294
1 0.000190975
1 0.000128925
1 8.46111e-05
1 5.34072e-05
1 3.14647e-05
1 1.81111e-05
1 1.06608e-05
1 7.41776e-06
1 6.40208e-06
1 6.68673e-06
1 7.57276e-06
1 8.51274e-06
1 9.55508e-06
1 1.00936e-05
1 9.86685e-06
1 9.44474e-06
1 8.36108e-06
1 5.58928e-06
1 2.65615e-06
1 1.70532e-06
1 2.19532e-06
1 2.71354e-06
1 2.53815e-06
1 1.76999e-06
1 1.05783e-06
1 1.2868e-06
1 1.44119e-06
1 1.57247e-06
1 1.69787e-06
1 1.88261e-06
1 2.11399e-06
1 2.33638e-06
1 2.56039e-06
1 2.86377e-06
1 3.24531e-06
1 3.59417e-06
1 3.79565e-06
1 3.85432e-06
1 3.86732e-06
1 3.91849e-06
1 4.01109e-06
1 4.11474e-06
1 4.22428e-06
1 4.38111e-06
1 4.63949e-06
1 5.03114e-06
1 5.5611e-06
1 6.20755e-06
1 6.93262e-06
1 7.69833e-06
1 8.46986e-06
1 9.21984e-06
1 9.92967e-06
1 1.05823e-05
1 1.1173e-05
1 1.16894e-05
1 1.21268e-05
1 1.24663e-05
1 1.27003e-05
1 1.28215e-05
1 1.28257e-05
1 1.27117e-05
1 1.24666e-05
1 1.20891e-05
1 1.15947e-05
1 1.10346e-05
1 1.04998e-05
1 1.01093e-05
1 1.00072e-05
1 1.03342e-05
1 1.12488e-05
1 1.28585e-05
1 1.51368e-05
1 1.78745e-05
1 2.07425e-05
1 2.33849e-05
1 2.55382e-05
1 2.72787e-05
1 2.92365e-05
1 3.22443e-05
1 3.61215e-05
1 3.9213e-05
1 3.94571e-05
1 3.59115e-05
1 2.99721e-05
1 2.48378e-05
1 2.23289e-05
1 2.23894e-05
1 2.52837e-05
1 3.08313e-05
1 3.90154e-05
1 5.37044e-05
1 7.89348e-05
1 0.000117019
1 0.000163287
1 0.00020694
1 0.000241945
1 0.000266403
1 0.000277279
1 0.000271332
1 0.000253022
1 0.000214156
1 0.000159582
1 9.36686e-05
1 5.48599e-05
1 4.47507e-05
1 3.66535e-05
1 3.7112e-05
1 5.8921e-05
1 0.000102035
1 0.000159604
1 0.000228507
1 0.000319939
1 0.000472725
1 0.000637569
1 0.000638387
1 0.000573348
1 0.000468516
1 0.000401167
1 0.000339891
1 0.000271954
1 0.000197616
1 0.000137621
1 9.5641e-05
1 6.3636e-05
1 4.07646e-05
1 2.47559e-05
1 1.49569e-05
1 9.61058e-06
1 7.45746e-06
1 7.34465e-06
1 8.08227e-06
1 8.63498e-06
1 8.99397e-06
1 9.68973e-06
1 1.01919e-05
1 1.00012e-05
1 9.60339e-06
1 8.69929e-06
1 6.4307e-06
1 3.58319e-06
1 1.9494e-06
1 1.87594e-06
1 2.38007e-06
1 2.42883e-06
1 1.85066e-06
1 1.0749e-06
1 1.07257e-06
1 1.1828e-06
1 1.24498e-06
1 1.26448e-06
1 1.27465e-06
1 1.3257e-06
1 1.40112e-06
1 1.51787e-06
1 1.7268e-06
1 2.03021e-06
1 2.36841e-06
1 2.7012e-06
1 3.06081e-06
1 3.47709e-06
1 3.90149e-06
1 4.22164e-06
1 4.36992e-06
1 4.37471e-06
1 4.32994e-06
1 4.30536e-06
1 4.33056e-06
1 4.39438e-06
1 4.49244e-06
1 4.61779e-06
1 4.78957e-06
1 5.00819e-06
1 5.28554e-06
1 5.60508e-06
1 5.96329e-06
1 6.33123e-06
1 6.70219e-06
1 7.04544e-06
1 7.36586e-06
1 7.63532e-06
1 7.86348e-06
1 8.03275e-06
1 8.16408e-06
1 8.24594e-06
1 8.32115e-06
1 8.40556e-06
1 8.56481e-06
1 8.81852e-06
1 9.23004e-06
1 9.81144e-06
1 1.0624e-05
1 1.16861e-05
1 1.30402e-05
1 1.46438e-05
1 1.64435e-05
1 1.83593e-05
1 2.0266e-05
1 2.19667e-05
1 2.31778e-05
1 2.37123e-05
1 2.35797e-05
1 2.31678e-05
1 2.32064e-05
1 2.47523e-05
1 2.81836e-05
1 3.23654e-05
1 3.52769e-05
1 3.56224e-05
1 3.35664e-05
1 3.12852e-05
1 3.09512e-05
1 3.24501e-05
1 3.59926e-05
1 4.52649e-05
1 6.44318e-05
1 9.63124e-05
1 0.000139479
1 0.000183531
1 0.000213784
1 0.000222621
1 0.000222046
1 0.000217167
1 0.000201272
1 0.000172601
1 0.000141897
1 0.00011517
1 0.000105123
1 0.000104172
1 8.32325e-05
1 5.77209e-05
1 5.40479e-05
1 6.21053e-05
1 8.42669e-05
1 0.000138076
1 0.000222264
1 0.000309647
1 0.000411144
1 0.000551928
1 0.000533932
1 0.000545894
1 0.000442612
1 0.000357399
1 0.000313066
1 0.000265989
1 0.000208684
1 0.000152323
1 0.000108664
1 7.52548e-05
1 4.95324e-05
1 3.18489e-05
1 2.00877e-05
1 1.28901e-05
1 9.0386e-06
1 7.59724e-06
1 7.53869e-06
1 8.3722e-06
1 9.1372e-06
1 9.30574e-06
1 9.6718e-06
1 1.0178e-05
1 9.96876e-06
