# Test: A5_GravitationalWaves
# Date: 2026-01-06T00:08:36
# Git: 090b6de (main branch)
# TRD Version: v3D Unified
# Golden Key: 246 GeV
# Parameters: M1=1.0, M2=1.0, a_initial=10.0, dt=0.01, steps=10000, test=energy_conservation
#
Time,E_Orbital,E_Radiated,E_Total,E_Drift_Percent
68.000000,-0.042336,0.007045,-0.035291,29.417845
69.000000,-0.042277,0.007104,-0.035173,29.654925
70.000000,-0.042218,0.007161,-0.035057,29.886566
71.000000,-0.042161,0.007218,-0.034944,30.112913
72.000000,-0.042106,0.007273,-0.034833,30.334111
73.000000,-0.042052,0.007327,-0.034725,30.550304
74.000000,-0.041999,0.007380,-0.034619,30.761637
75.000000,-0.041948,0.007432,-0.034516,30.968254
76.000000,-0.041898,0.007483,-0.034415,31.170295
77.000000,-0.041849,0.007533,-0.034316,31.367902
78.000000,-0.041801,0.007582,-0.034219,31.561212
79.000000,-0.041755,0.007630,-0.034125,31.750363
80.000000,-0.041709,0.007677,-0.034032,31.935489
81.000000,-0.041665,0.007723,-0.033942,32.116721
82.000000,-0.041622,0.007769,-0.033853,32.294190
83.000000,-0.041579,0.007813,-0.033766,32.468023
84.000000,-0.041538,0.007857,-0.033681,32.638345
85.000000,-0.041498,0.007900,-0.033597,32.805276
86.000000,-0.041458,0.007943,-0.033516,32.968937
87.000000,-0.041419,0.007984,-0.033435,33.129444
88.000000,-0.041382,0.008025,-0.033357,33.286910
89.000000,-0.041345,0.008065,-0.033279,33.441447
90.000000,-0.041308,0.008105,-0.033203,33.593163
91.000000,-0.041273,0.008144,-0.033129,33.742162
92.000000,-0.041238,0.008182,-0.033056,33.888549
93.000000,-0.041204,0.008220,-0.032984,34.032422
94.000000,-0.041171,0.008258,-0.032913,34.173880
95.000000,-0.041138,0.008294,-0.032843,34.313017
96.000000,-0.041106,0.008331,-0.032775,34.449925
97.000000,-0.041074,0.008366,-0.032708,34.584695
98.000000,-0.041043,0.008402,-0.032641,34.717414
99.000000,-0.041012,0.008436,-0.032576,34.848167
100.000000,-0.040982,0.008471,-0.032511,34.977036
