# Test: A5_GravitationalWaves
# Date: 2026-01-06T00:09:49
# Git: 090b6de (main branch)
# TRD Version: v3D Unified
# Golden Key: 246 GeV
# Parameters: M1=1.0, M2=1.0, a_initial=8.0, dt=0.01, steps=15000, test=chirp_signal
#
Time,Frequency_GW,h_plus,h_cross,h_amplitude
0.000000,0.125000,0.197392,0.000000,0.197392
0.500000,0.062402,0.048252,0.009582,0.049194
1.000000,0.062305,0.045330,0.018711,0.049040
1.500000,0.062208,0.040722,0.027048,0.048887
2.000000,0.062112,0.034628,0.034292,0.048734
2.500000,0.062018,0.027297,0.040190,0.048583
3.000000,0.061925,0.019019,0.044543,0.048433
3.500000,0.061834,0.010112,0.047215,0.048285
4.000000,0.061746,9.124363e-04,0.048131,0.048139
4.500000,0.061660,-0.008243,0.047282,0.047996
5.000000,0.061578,-0.017025,0.044724,0.047855
5.500000,0.061499,-0.025122,0.040568,0.047716
6.000000,0.061424,-0.032253,0.034981,0.047581
6.500000,0.061353,-0.038175,0.028179,0.047449
7.000000,0.061287,-0.042691,0.020414,0.047321
7.500000,0.061226,-0.045654,0.011969,0.047197
8.000000,0.061170,-0.046971,0.003146,0.047076
8.500000,0.061119,-0.046608,-0.005742,0.046960
9.000000,0.061074,-0.044586,-0.014384,0.046849
9.500000,0.061036,-0.040984,-0.022477,0.046743
10.000000,0.061003,-0.035931,-0.029738,0.046641
10.500000,0.060978,-0.029608,-0.035914,0.046545
11.000000,0.060960,-0.022236,-0.040787,0.046454
11.500000,0.060950,-0.014074,-0.044182,0.046369
12.000000,0.060947,-0.005409,-0.045973,0.046290
12.500000,0.060952,0.003453,-0.046088,0.046217
13.000000,0.060966,0.012194,-0.044511,0.046151
13.500000,0.060988,0.020497,-0.041283,0.046091
14.000000,0.061020,0.028052,-0.036504,0.046038
14.500000,0.061061,0.034573,-0.030331,0.045992
15.000000,0.061112,0.039798,-0.022973,0.045953
15.500000,0.061173,0.043509,-0.014689,0.045921
16.000000,0.061244,0.045532,-0.005780,0.045898
16.500000,0.061326,0.045754,0.003421,0.045882
17.000000,0.061419,0.044122,0.012556,0.045874
17.500000,0.061524,0.040655,0.021252,0.045874
18.000000,0.061640,0.035442,0.029139,0.045883
18.500000,0.061768,0.028652,0.035860,0.045901
19.000000,0.061909,0.020523,0.041086,0.045927
19.500000,0.062063,0.011368,0.044534,0.045962
20.000000,0.062230,0.001563,0.045981,0.046007
20.500000,0.062410,-0.008463,0.045277,0.046062
21.000000,0.062605,-0.018240,0.042366,0.046126
21.500000,0.062814,-0.027273,0.037291,0.046200
22.000000,0.063038,-0.035069,0.030206,0.046284
22.500000,0.063277,-0.041155,0.021382,0.046379
23.000000,0.063532,-0.045112,0.011208,0.046484
23.500000,0.063804,-0.046600,1.806888e-04,0.046600
24.000000,0.064091,-0.045388,-0.011107,0.046727
24.500000,0.064397,-0.041388,-0.021986,0.046866
25.000000,0.064719,-0.034677,-0.031749,0.047016
25.500000,0.065061,-0.025518,-0.039681,0.047178
26.000000,0.065420,-0.014368,-0.045119,0.047352
26.500000,0.065800,-0.001883,-0.047501,0.047538
27.000000,0.066199,0.011107,-0.046427,0.047737
27.500000,0.066619,0.023630,-0.041722,0.047949
28.000000,0.067060,0.034632,-0.033487,0.048174
28.500000,0.067523,0.043052,-0.022142,0.048412
29.000000,0.068008,0.047926,-0.008446,0.048665
29.500000,0.068517,0.048495,0.006515,0.048931
30.000000,0.069050,0.044328,0.021371,0.049211
30.500000,0.069608,0.035435,0.034572,0.049506
31.000000,0.070191,0.022356,0.044518,0.049816
31.500000,0.070801,0.006208,0.049755,0.050141
32.000000,0.071439,-0.011336,0.049192,0.050481
32.500000,0.072105,-0.028154,0.042330,0.050838
33.000000,0.072800,-0.041882,0.029468,0.051210
33.500000,0.073526,-0.050221,0.011845,0.051599
34.000000,0.074284,-0.051331,-0.008347,0.052005
34.500000,0.075074,-0.044255,-0.028109,0.052428
35.000000,0.075898,-0.029318,-0.043994,0.052868
35.500000,0.076758,-0.008374,-0.052665,0.053326
36.000000,0.077654,0.015185,-0.051616,0.053803
36.500000,0.078588,0.036782,-0.039942,0.054298
37.000000,0.079561,0.051424,-0.018970,0.054811
37.500000,0.080575,0.054837,0.007477,0.055344
38.000000,0.081632,0.044802,0.033424,0.055897
38.500000,0.082733,0.022355,0.051855,0.056469
39.000000,0.083880,-0.007624,0.056549,0.057061
39.500000,0.085075,-0.036897,0.044327,0.057674
40.000000,0.086321,-0.055765,0.017029,0.058307
40.500000,0.087618,-0.056240,-0.017705,0.058961
41.000000,0.088970,-0.035723,-0.047754,0.059637
41.500000,0.090379,2.786710e-04,-0.060333,0.060334
42.000000,0.091847,0.038200,-0.047624,0.061052
42.500000,0.093378,0.060590,-0.012126,0.061792
43.000000,0.094974,0.054068,0.031456,0.062553
43.500000,0.096637,0.018159,0.060677,0.063336
44.000000,0.098372,-0.030329,0.056517,0.064141
44.500000,0.100183,-0.062731,0.016897,0.064967
45.000000,0.102072,-0.054844,-0.036382,0.065814
45.500000,0.104043,-0.006702,-0.066344,0.066682
46.000000,0.106103,0.049467,-0.046030,0.067570
46.500000,0.108254,0.066938,0.014440,0.068478
47.000000,0.110503,0.024070,0.065097,0.069404
47.500000,0.112855,-0.045044,0.054036,0.070348
48.000000,0.115316,-0.069575,-0.015624,0.071308
48.500000,0.117893,-0.014518,-0.070809,0.072282
49.000000,0.120594,0.061644,-0.039603,0.073269
49.500000,0.123428,0.057323,0.047217,0.074265
50.000000,0.126403,-0.032102,0.068080,0.075269
50.500000,0.129530,-0.073727,-0.019549,0.076274
51.000000,0.132821,0.011547,-0.076411,0.077278
51.500000,0.136290,0.077722,0.009281,0.078274
52.000000,0.139951,-0.013596,0.078079,0.079254
52.500000,0.143821,-0.076186,-0.025081,0.080209
53.000000,0.147920,0.043373,-0.068558,0.081126
53.500000,0.152269,0.049682,0.065223,0.081989
54.000000,0.156891,-0.081509,0.014438,0.082778
54.500000,0.161809,0.034875,-0.075826,0.083461
55.000000,0.167048,0.032066,0.077638,0.084000
55.500000,0.172626,-0.073714,-0.040970,0.084334
56.000000,0.178545,0.084376,-7.774549e-04,0.084380
56.500000,0.184775,-0.078071,0.031017,0.084006
57.000000,0.191208,0.066812,-0.049264,0.083011
57.500000,0.197564,-0.051649,0.062478,0.081062
58.000000,0.203168,0.016338,-0.075856,0.077595
58.500000,0.206390,0.064039,0.032021,0.071598
59.000000,0.203059,0.060708,-0.007478,0.061167
59.500000,0.181045,0.005900,-0.042111,0.042522
60.000000,0.080789,0.004328,-0.006172,0.007539
60.500000,0.018160,3.025652e-04,2.159324e-04,3.717156e-04
61.000000,0.030074,5.062536e-04,-8.618668e-04,9.995534e-04
61.500000,0.018744,2.180684e-04,3.113011e-04,3.800818e-04
62.000000,0.036133,8.467406e-05,0.001377,0.001380
62.500000,0.028477,1.559099e-04,-8.220384e-04,8.366929e-04
63.000000,0.010568,-5.673886e-05,-9.704346e-05,1.124132e-04
63.500000,0.028204,1.988094e-04,-7.558650e-04,7.815734e-04
64.000000,0.042872,-6.825583e-05,-0.001757,0.001759
64.500000,0.026125,-2.522407e-04,-5.832491e-04,6.354564e-04
65.000000,0.045092,0.001667,-7.720154e-04,0.001837
65.500000,0.021906,-3.858954e-04,1.674205e-04,4.206481e-04
66.000000,0.038103,-0.001228,-1.144005e-04,0.001234
66.500000,0.046002,0.001624,6.329238e-04,0.001743
67.000000,0.005923,-2.219993e-05,1.680666e-05,2.784422e-05
67.500000,0.028493,5.505301e-04,-2.879608e-04,6.212929e-04
68.000000,0.042809,0.001143,-7.151791e-04,0.001348
68.500000,0.068156,-0.001593,-0.002843,0.003259
69.000000,0.024536,-1.408132e-04,-3.759406e-04,4.014470e-04
69.500000,0.034931,-6.956667e-04,3.396198e-04,7.741406e-04
70.000000,0.064130,-0.002449,1.678590e-04,0.002455
70.500000,0.083620,0.003090,-0.002391,0.003907
71.000000,0.106424,-0.005502,-0.002025,0.005863
71.500000,0.106714,-0.003733,-0.003977,0.005454
72.000000,0.128282,6.111449e-04,0.007089,0.007116
72.500000,0.146432,-0.006093,-0.005461,0.008183
73.000000,0.154933,-0.002864,0.007218,0.007766
73.500000,0.059375,-5.795387e-04,6.654892e-04,8.824631e-04
74.000000,0.327334,0.003228,0.018640,0.018918
74.500000,5.618547,-0.941455,-0.531192,1.080973
75.000000,0.151930,-0.002556,0.001989,0.003239
75.500000,9.237709,-1.529564,0.528632,1.618338
76.000000,2.381015,56653.756790,-15644.361584,58774.094700
76.500000,1.086970,33593.559455,48227.240755,58774.092828
77.000000,0.704231,8912.775813,58094.374512,58774.092274
77.500000,0.520836,-38816.499222,44132.451547,58774.092008
78.000000,0.413225,6797.698886,58379.663950,58774.091853
78.500000,0.342467,43758.951519,-39237.074598,58774.091750
79.000000,0.292399,47659.844396,34393.794276,58774.091678
79.500000,0.255103,-11255.747979,57686.237385,58774.091624
80.000000,0.226245,47637.551011,34424.665212,58774.091582
80.500000,0.203252,-37980.856289,44853.632996,58774.091549
81.000000,0.184502,55259.231675,-20020.268451,58774.091522
81.500000,0.168919,6235.640806,-58442.370035,58774.091499
82.000000,0.155764,8320.636684,-58182.135011,58774.091480
82.500000,0.144509,51853.119709,-27670.341593,58774.091464
83.000000,0.134771,23002.511156,54085.842013,58774.091450
83.500000,0.126263,-56647.510925,-15666.950256,58774.091437
84.000000,0.118765,58121.455406,-8734.428690,58774.091427
84.500000,0.112108,-57936.949852,9884.516366,58774.091417
85.000000,0.106157,58141.869640,8597.488914,58774.091408
85.500000,0.100807,-43106.174432,-39953.116847,58774.091401
86.000000,0.095969,-1243.525126,58760.934850,58774.091394
86.500000,0.091575,51725.511706,-27908.157538,58774.091387
87.000000,0.087566,-43291.513292,-39752.216223,58774.091381
87.500000,0.083893,-31682.940496,49503.384719,58774.091376
