# Test: A5_GravitationalWaves
# Date: 2026-01-06T00:10:44
# Git: 090b6de (main branch)
# TRD Version: v3D Unified
# Golden Key: 246 GeV
# Parameters: M1=1.0, M2=1.0, a_initial=10.0, dt=0.01, steps=10000, test=orbital_decay
#
Time,Separation,Frequency,E_Orbital,E_Radiated,E_Total
0.000000,10.000000,0.044721,-0.050000,0.000000,-0.050000
1.000000,10.000008,0.022389,-0.049872,1.279999e-04,-0.049744
2.000000,10.000068,0.022418,-0.049743,2.559979e-04,-0.049487
3.000000,10.000230,0.022446,-0.049615,3.839891e-04,-0.049231
4.000000,10.000545,0.022473,-0.049485,5.119653e-04,-0.048973
5.000000,10.001066,0.022499,-0.049356,6.399152e-04,-0.048716
6.000000,10.001842,0.022525,-0.049226,7.678239e-04,-0.048458
7.000000,10.002925,0.022549,-0.049096,8.956736e-04,-0.048201
8.000000,10.004365,0.022571,-0.048966,0.001023,-0.047943
9.000000,10.006211,0.022592,-0.048836,0.001151,-0.047685
10.000000,10.008512,0.022610,-0.048705,0.001279,-0.047426
11.000000,10.011315,0.022627,-0.048574,0.001406,-0.047168
12.000000,10.014668,0.022641,-0.048444,0.001533,-0.046910
13.000000,10.018617,0.022652,-0.048313,0.001660,-0.046653
14.000000,10.023205,0.022660,-0.048182,0.001787,-0.046395
15.000000,10.028476,0.022665,-0.048051,0.001913,-0.046138
16.000000,10.034472,0.022667,-0.047920,0.002039,-0.045881
17.000000,10.041231,0.022666,-0.047790,0.002165,-0.045625
18.000000,10.048793,0.022661,-0.047659,0.002290,-0.045370
19.000000,10.057193,0.022652,-0.047529,0.002415,-0.045115
20.000000,10.066465,0.022640,-0.047400,0.002539,-0.044861
21.000000,10.076642,0.022623,-0.047270,0.002662,-0.044608
22.000000,10.087752,0.022603,-0.047142,0.002785,-0.044357
23.000000,10.099825,0.022578,-0.047013,0.002907,-0.044106
24.000000,10.112883,0.022549,-0.046886,0.003029,-0.043857
25.000000,10.126951,0.022515,-0.046759,0.003149,-0.043610
26.000000,10.142047,0.022477,-0.046633,0.003269,-0.043364
27.000000,10.158190,0.022434,-0.046507,0.003388,-0.043120
28.000000,10.175394,0.022387,-0.046383,0.003506,-0.042877
29.000000,10.193670,0.022336,-0.046260,0.003623,-0.042637
30.000000,10.213029,0.022280,-0.046137,0.003738,-0.042399
31.000000,10.233476,0.022219,-0.046016,0.003853,-0.042163
32.000000,10.255015,0.022154,-0.045896,0.003966,-0.041929
33.000000,10.277648,0.022085,-0.045777,0.004079,-0.041698
34.000000,10.301372,0.022012,-0.045659,0.004190,-0.041470
35.000000,10.326184,0.021934,-0.045543,0.004299,-0.041244
36.000000,10.352076,0.021852,-0.045428,0.004408,-0.041021
37.000000,10.379040,0.021765,-0.045315,0.004515,-0.040800
38.000000,10.407062,0.021675,-0.045203,0.004620,-0.040583
39.000000,10.436128,0.021582,-0.045093,0.004724,-0.040369
40.000000,10.466222,0.021484,-0.044984,0.004827,-0.040157
41.000000,10.497325,0.021383,-0.044877,0.004928,-0.039949
42.000000,10.529414,0.021279,-0.044772,0.005028,-0.039744
43.000000,10.562468,0.021171,-0.044668,0.005126,-0.039542
44.000000,10.596460,0.021061,-0.044566,0.005223,-0.039344
45.000000,10.631363,0.020947,-0.044466,0.005318,-0.039148
46.000000,10.667149,0.020831,-0.044367,0.005411,-0.038956
47.000000,10.703787,0.020713,-0.044271,0.005503,-0.038768
48.000000,10.741246,0.020592,-0.044176,0.005593,-0.038582
49.000000,10.779490,0.020469,-0.044082,0.005682,-0.038400
50.000000,10.818487,0.020345,-0.043991,0.005769,-0.038222
51.000000,10.858201,0.020218,-0.043901,0.005855,-0.038047
52.000000,10.898594,0.020090,-0.043813,0.005939,-0.037875
53.000000,10.939629,0.019961,-0.043727,0.006021,-0.037706
54.000000,10.981268,0.019830,-0.043643,0.006102,-0.037541
55.000000,11.023472,0.019699,-0.043560,0.006182,-0.037379
56.000000,11.066200,0.019567,-0.043479,0.006260,-0.037220
57.000000,11.109415,0.019434,-0.043400,0.006336,-0.037064
58.000000,11.153074,0.019301,-0.043323,0.006411,-0.036912
59.000000,11.197137,0.019167,-0.043247,0.006484,-0.036763
60.000000,11.241564,0.019034,-0.043173,0.006556,-0.036616
61.000000,11.286314,0.018900,-0.043100,0.006627,-0.036473
62.000000,11.331347,0.018767,-0.043029,0.006696,-0.036333
63.000000,11.376622,0.018634,-0.042960,0.006764,-0.036196
64.000000,11.422098,0.018501,-0.042892,0.006831,-0.036061
65.000000,11.467736,0.018369,-0.042825,0.006896,-0.035930
66.000000,11.513496,0.018238,-0.042760,0.006960,-0.035801
67.000000,11.559339,0.018108,-0.042697,0.007022,-0.035675
68.000000,11.605226,0.017979,-0.042635,0.007084,-0.035551
69.000000,11.651118,0.017850,-0.042574,0.007144,-0.035430
70.000000,11.696978,0.017723,-0.042514,0.007203,-0.035312
71.000000,11.742770,0.017598,-0.042456,0.007261,-0.035196
72.000000,11.788456,0.017473,-0.042399,0.007318,-0.035082
73.000000,11.834000,0.017350,-0.042344,0.007373,-0.034971
74.000000,11.879368,0.017229,-0.042289,0.007428,-0.034861
75.000000,11.924526,0.017109,-0.042236,0.007482,-0.034755
76.000000,11.969439,0.016991,-0.042184,0.007534,-0.034650
77.000000,12.014076,0.016875,-0.042133,0.007586,-0.034547
78.000000,12.058403,0.016761,-0.042083,0.007636,-0.034447
79.000000,12.102390,0.016648,-0.042034,0.007686,-0.034348
80.000000,12.146008,0.016537,-0.041986,0.007735,-0.034251
81.000000,12.189225,0.016429,-0.041939,0.007783,-0.034156
82.000000,12.232014,0.016322,-0.041893,0.007830,-0.034063
83.000000,12.274346,0.016217,-0.041848,0.007877,-0.033971
84.000000,12.316196,0.016115,-0.041804,0.007922,-0.033882
85.000000,12.357536,0.016014,-0.041760,0.007967,-0.033793
86.000000,12.398341,0.015916,-0.041718,0.008011,-0.033707
87.000000,12.438588,0.015819,-0.041676,0.008054,-0.033622
88.000000,12.478252,0.015725,-0.041635,0.008097,-0.033538
89.000000,12.517312,0.015634,-0.041595,0.008139,-0.033456
90.000000,12.555744,0.015544,-0.041555,0.008180,-0.033375
91.000000,12.593528,0.015457,-0.041516,0.008221,-0.033295
92.000000,12.630644,0.015371,-0.041478,0.008261,-0.033217
93.000000,12.667073,0.015289,-0.041440,0.008301,-0.033140
94.000000,12.702795,0.015208,-0.041403,0.008340,-0.033064
95.000000,12.737793,0.015130,-0.041367,0.008378,-0.032989
96.000000,12.772051,0.015053,-0.041331,0.008416,-0.032915
97.000000,12.805551,0.014980,-0.041296,0.008453,-0.032842
98.000000,12.838278,0.014908,-0.041261,0.008490,-0.032771
99.000000,12.870218,0.014839,-0.041227,0.008527,-0.032700
100.000000,12.901356,0.014772,-0.041193,0.008563,-0.032630
