# Test: A5_GravitationalWaves
# Date: 2026-01-06T00:09:14
# Git: 090b6de (main branch)
# TRD Version: v3D Unified
# Golden Key: 246 GeV
# Parameters: M1=1.0, M2=1.0, a_initial=10.0, dt=0.01, steps=10000, test=energy_conservation
#
Time,E_Orbital,E_Radiated,E_Total,E_Drift_Percent
41.000000,-0.045066,0.004934,-0.040133,19.734701
42.000000,-0.044966,0.005034,-0.039932,20.135678
43.000000,-0.044867,0.005133,-0.039735,20.530685
44.000000,-0.044770,0.005230,-0.039540,20.919663
45.000000,-0.044674,0.005326,-0.039349,21.302562
46.000000,-0.044580,0.005420,-0.039160,21.679345
47.000000,-0.044488,0.005512,-0.038975,22.049987
48.000000,-0.044396,0.005604,-0.038793,22.414471
49.000000,-0.044307,0.005693,-0.038614,22.772795
50.000000,-0.044219,0.005781,-0.038438,23.124962
51.000000,-0.044132,0.005868,-0.038265,23.470988
52.000000,-0.044047,0.005953,-0.038095,23.810900
53.000000,-0.043964,0.006036,-0.037928,24.144729
54.000000,-0.043882,0.006118,-0.037764,24.472518
55.000000,-0.043801,0.006199,-0.037603,24.794318
56.000000,-0.043722,0.006278,-0.037445,25.110185
57.000000,-0.043645,0.006355,-0.037290,25.420185
58.000000,-0.043569,0.006431,-0.037138,25.724386
59.000000,-0.043494,0.006506,-0.036989,26.022867
60.000000,-0.043421,0.006579,-0.036842,26.315708
61.000000,-0.043349,0.006651,-0.036699,26.602997
62.000000,-0.043279,0.006721,-0.036558,26.884822
63.000000,-0.043210,0.006790,-0.036419,27.161280
64.000000,-0.043142,0.006858,-0.036284,27.432468
65.000000,-0.043075,0.006925,-0.036151,27.698486
66.000000,-0.043010,0.006990,-0.036020,27.959438
67.000000,-0.042946,0.007054,-0.035892,28.215429
68.000000,-0.042883,0.007117,-0.035767,28.466566
69.000000,-0.042822,0.007178,-0.035644,28.712956
70.000000,-0.042761,0.007239,-0.035523,28.954709
71.000000,-0.042702,0.007298,-0.035404,29.191935
72.000000,-0.042644,0.007356,-0.035288,29.424744
73.000000,-0.042587,0.007413,-0.035173,29.653246
74.000000,-0.042531,0.007469,-0.035061,29.877551
75.000000,-0.042476,0.007524,-0.034951,30.097768
76.000000,-0.042421,0.007579,-0.034843,30.314008
77.000000,-0.042368,0.007632,-0.034737,30.526377
78.000000,-0.042316,0.007684,-0.034633,30.734984
79.000000,-0.042265,0.007735,-0.034530,30.939935
80.000000,-0.042215,0.007785,-0.034429,31.141335
81.000000,-0.042165,0.007835,-0.034330,31.339288
82.000000,-0.042117,0.007883,-0.034233,31.533896
83.000000,-0.042069,0.007931,-0.034137,31.725260
84.000000,-0.042022,0.007978,-0.034043,31.913479
85.000000,-0.041975,0.008025,-0.033951,32.098650
86.000000,-0.041930,0.008070,-0.033860,32.280870
87.000000,-0.041885,0.008115,-0.033770,32.460233
88.000000,-0.041841,0.008159,-0.033682,32.636830
89.000000,-0.041797,0.008203,-0.033595,32.810754
90.000000,-0.041754,0.008246,-0.033509,32.982091
91.000000,-0.041712,0.008288,-0.033425,33.150930
92.000000,-0.041671,0.008329,-0.033341,33.317355
93.000000,-0.041630,0.008370,-0.033259,33.481450
94.000000,-0.041589,0.008411,-0.033178,33.643296
95.000000,-0.041549,0.008451,-0.033099,33.802973
96.000000,-0.041510,0.008490,-0.033020,33.960559
97.000000,-0.041471,0.008529,-0.032942,34.116130
98.000000,-0.041433,0.008567,-0.032865,34.269760
99.000000,-0.041395,0.008605,-0.032789,34.421523
100.000000,-0.041357,0.008643,-0.032714,34.571490
