# Test: A5_GravitationalWaves
# Date: 2026-01-06T00:08:36
# Git: 090b6de (main branch)
# TRD Version: v3D Unified
# Golden Key: 246 GeV
# Parameters: M1=1.0, M2=1.0, a_initial=8.0, dt=0.01, steps=15000, test=chirp_signal
#
Time,Frequency_GW,h_plus,h_cross,h_amplitude
0.000000,0.125000,0.197392,0.000000,0.197392
0.500000,0.062598,0.048549,0.009672,0.049503
1.000000,0.062696,0.045855,0.019060,0.049658
1.500000,0.062793,0.041342,0.027789,0.049814
2.000000,0.062890,0.035160,0.035507,0.049969
2.500000,0.062986,0.027529,0.041889,0.050125
3.000000,0.063080,0.018732,0.046660,0.050280
3.500000,0.063173,0.009106,0.049605,0.050434
4.000000,0.063263,-9.701831e-04,0.050578,0.050587
4.500000,0.063351,-0.011093,0.049511,0.050738
5.000000,0.063435,-0.020847,0.046422,0.050888
5.500000,0.063516,-0.029826,0.041413,0.051036
6.000000,0.063593,-0.037651,0.034668,0.051181
6.500000,0.063666,-0.043982,0.026450,0.051323
7.000000,0.063734,-0.048543,0.017085,0.051462
7.500000,0.063797,-0.051126,0.006956,0.051597
8.000000,0.063855,-0.051609,-0.003520,0.051729
8.500000,0.063907,-0.049958,-0.013905,0.051857
9.000000,0.063952,-0.046230,-0.023764,0.051980
9.500000,0.063991,-0.040574,-0.032680,0.052098
10.000000,0.064023,-0.033223,-0.040278,0.052211
10.500000,0.064048,-0.024482,-0.046238,0.052319
11.000000,0.064065,-0.014717,-0.050313,0.052421
11.500000,0.064073,-0.004336,-0.052338,0.052517
12.000000,0.064074,0.006229,-0.052237,0.052607
12.500000,0.064066,0.016542,-0.050026,0.052690
13.000000,0.064049,0.026183,-0.045812,0.052766
13.500000,0.064023,0.034769,-0.039783,0.052835
14.000000,0.063987,0.041964,-0.032204,0.052897
14.500000,0.063942,0.047502,-0.023396,0.052950
15.000000,0.063887,0.051188,-0.013725,0.052996
15.500000,0.063822,0.052913,-0.003583,0.053034
16.000000,0.063747,0.052648,0.006632,0.053064
16.500000,0.063661,0.050445,0.016531,0.053085
17.000000,0.063564,0.046434,0.025752,0.053097
17.500000,0.063457,0.040808,0.033976,0.053100
18.000000,0.063339,0.033816,0.040933,0.053095
18.500000,0.063211,0.025747,0.046418,0.053080
19.000000,0.063071,0.016915,0.050287,0.053056
19.500000,0.062921,0.007648,0.052468,0.053023
20.000000,0.062760,-0.001732,0.052952,0.052980
20.500000,0.062588,-0.010916,0.051790,0.052928
21.000000,0.062406,-0.019623,0.049090,0.052867
21.500000,0.062213,-0.027606,0.045003,0.052796
22.000000,0.062009,-0.034662,0.039718,0.052716
22.500000,0.061795,-0.040630,0.033446,0.052626
23.000000,0.061571,-0.045400,0.026417,0.052527
23.500000,0.061336,-0.048906,0.018865,0.052418
24.000000,0.061092,-0.051127,0.011019,0.052301
24.500000,0.060839,-0.052082,0.003098,0.052174
25.000000,0.060575,-0.051826,-0.004697,0.052038
25.500000,0.060303,-0.050442,-0.012187,0.051894
26.000000,0.060022,-0.048038,-0.019219,0.051740
26.500000,0.059732,-0.044738,-0.025669,0.051579
27.000000,0.059434,-0.040675,-0.031438,0.051408
27.500000,0.059128,-0.035991,-0.036458,0.051230
28.000000,0.058815,-0.030825,-0.040686,0.051044
28.500000,0.058494,-0.025313,-0.044102,0.050850
29.000000,0.058166,-0.019585,-0.046708,0.050649
29.500000,0.057831,-0.013761,-0.048526,0.050440
30.000000,0.057491,-0.007946,-0.049592,0.050224
30.500000,0.057144,-0.002234,-0.049952,0.050002
31.000000,0.056792,0.003294,-0.049664,0.049773
31.500000,0.056434,0.008571,-0.048790,0.049538
32.000000,0.056072,0.013546,-0.047399,0.049296
32.500000,0.055705,0.018177,-0.045557,0.049050
33.000000,0.055335,0.022437,-0.043333,0.048797
33.500000,0.054960,0.026307,-0.040793,0.048540
34.000000,0.054582,0.029780,-0.037999,0.048278
34.500000,0.054201,0.032854,-0.035010,0.048012
35.000000,0.053818,0.035536,-0.031880,0.047741
35.500000,0.053432,0.037838,-0.028658,0.047466
36.000000,0.053044,0.039776,-0.025388,0.047187
36.500000,0.052655,0.041369,-0.022107,0.046905
37.000000,0.052264,0.042640,-0.018849,0.046620
37.500000,0.051872,0.043613,-0.015641,0.046333
38.000000,0.051479,0.044310,-0.012508,0.046042
38.500000,0.051086,0.044759,-0.009469,0.045749
39.000000,0.050693,0.044982,-0.006538,0.045454
39.500000,0.050300,0.045004,-0.003727,0.045158
40.000000,0.049907,0.044847,-0.001044,0.044859
40.500000,0.049515,0.044534,0.001504,0.044560
41.000000,0.049124,0.044085,0.003914,0.044259
41.500000,0.048734,0.043520,0.006186,0.043957
42.000000,0.048346,0.042855,0.008319,0.043655
42.500000,0.047959,0.042107,0.010315,0.043352
43.000000,0.047573,0.041291,0.012178,0.043049
43.500000,0.047190,0.040419,0.013911,0.042746
44.000000,0.046809,0.039505,0.015519,0.042444
44.500000,0.046430,0.038557,0.017007,0.042141
45.000000,0.046053,0.037585,0.018380,0.041839
45.500000,0.045679,0.036598,0.019645,0.041538
46.000000,0.045308,0.035603,0.020807,0.041237
46.500000,0.044940,0.034605,0.021871,0.040938
47.000000,0.044575,0.033610,0.022845,0.040639
47.500000,0.044213,0.032622,0.023733,0.040342
48.000000,0.043854,0.031645,0.024541,0.040046
48.500000,0.043498,0.030682,0.025275,0.039752
49.000000,0.043146,0.029735,0.025940,0.039460
49.500000,0.042798,0.028806,0.026541,0.039169
50.000000,0.042453,0.027897,0.027082,0.038880
50.500000,0.042112,0.027008,0.027569,0.038593
51.000000,0.041774,0.026140,0.028004,0.038309
51.500000,0.041440,0.025294,0.028393,0.038026
52.000000,0.041110,0.024470,0.028739,0.037745
52.500000,0.040784,0.023668,0.029045,0.037467
53.000000,0.040462,0.022887,0.029316,0.037192
53.500000,0.040144,0.022127,0.029553,0.036919
54.000000,0.039830,0.021388,0.029759,0.036648
54.500000,0.039520,0.020669,0.029938,0.036380
55.000000,0.039214,0.019968,0.030092,0.036114
55.500000,0.038912,0.019286,0.030222,0.035852
56.000000,0.038614,0.018622,0.030332,0.035592
56.500000,0.038320,0.017974,0.030422,0.035335
