# Field snapshot at t = 70 seconds
# Grid: 64 x 64
# Columns: x  y  theta  R  mass  |psi|^2  psi_0_real  psi_0_imag  psi_1_real  psi_1_imag  psi_2_real  psi_2_imag  psi_3_real  psi_3_imag
45  0  0.054892  0.998908  2.497271  0.000340  -0.001542  -0.001553  -0.004687  0.000284  0.004373  0.015672  0.006600  -0.002148
46  0  0.045804  0.999607  2.499018  0.000161  0.003803  0.005607  -0.003401  -0.002111  0.007307  0.001232  -0.004129  0.005216
47  0  0.047040  0.999773  2.499432  0.000185  -0.001839  -0.003090  -0.000906  0.005585  -0.010521  0.001029  0.000890  0.005214
48  0  0.046738  0.999420  2.498549  0.000378  0.011678  0.009991  0.009219  -0.001040  0.002457  0.003977  0.005651  0.001311
49  0  -0.015010  0.999668  2.499170  0.000390  0.003987  0.006142  0.010176  -0.004069  0.003444  0.012129  0.002314  0.007176
50  0  -0.007712  0.999357  2.498392  0.000337  -0.007116  -0.005484  0.004961  0.003893  -0.011293  0.001690  0.002552  0.008946
51  0  0.032373  0.999115  2.497787  0.000321  0.006959  -0.004089  -0.002287  -0.003256  0.000561  -0.005053  0.009058  0.011495
52  0  0.026351  0.998989  2.497473  0.000285  0.002013  0.003488  0.002952  -0.005965  0.008948  0.000479  0.011028  0.004747
53  0  -0.047084  0.999381  2.498451  0.000404  -0.005438  0.008190  -0.005988  0.013711  0.004464  -0.003991  0.004979  -0.004775
54  0  -0.010722  0.999374  2.498434  0.000371  0.015225  -0.004674  -0.004960  0.005952  -0.003910  -0.002761  -0.000398  -0.005829
55  0  0.031081  0.999134  2.497835  0.000222  0.002632  -0.002913  -0.003326  -0.006017  0.006266  0.000483  -0.010683  0.002329
56  0  0.025771  0.999302  2.498256  0.000144  0.001531  0.000684  0.002119  0.009790  0.006168  -0.001375  -0.000065  0.000818
57  0  -0.053216  0.999454  2.498636  0.000130  -0.006814  0.003123  0.004535  -0.000122  0.004454  0.005814  -0.000268  -0.000058
58  0  -0.042006  0.999684  2.499211  0.000239  0.001501  0.001072  0.006384  0.001744  0.002815  -0.005499  -0.011855  -0.003646
59  0  -0.058896  0.999455  2.498637  0.000143  0.002804  -0.006438  0.002497  -0.001677  0.000848  -0.003718  -0.002577  0.007948
60  0  -0.044870  0.999451  2.498627  0.000228  -0.003295  -0.003983  -0.007977  0.010622  -0.003561  0.001981  0.001343  -0.002519
61  0  -0.047430  0.999415  2.498538  0.000095  -0.004709  -0.002754  -0.000756  -0.001416  0.005040  -0.004003  -0.000124  -0.004587
62  0  -0.105072  0.999649  2.499123  0.000307  -0.004215  0.000287  0.000986  -0.003616  0.007201  -0.001103  0.013555  -0.006200
63  0  -0.071088  0.999271  2.498178  0.000236  0.007348  0.002404  -0.000286  0.008755  -0.000867  -0.004280  -0.008346  0.003236
0  1  -0.030615  0.999555  2.498887  0.000370  0.004909  -0.003358  0.001076  0.005219  0.006281  0.001750  -0.013056  -0.009678
1  1  0.010873  0.999742  2.499356  0.000114  0.002316  0.002344  -0.006749  0.001406  -0.003179  0.001309  -0.004311  0.005063
2  1  0.016038  0.999876  2.499689  0.000235  0.003246  0.004129  0.003291  0.003798  0.008451  0.007608  -0.002416  0.006887
3  1  0.012019  0.999560  2.498901  0.000356  -0.009632  0.006806  -0.009008  0.009120  0.005037  -0.004906  -0.000211  -0.001879
4  1  0.057317  0.999164  2.497909  0.000086  0.003691  -0.001476  0.001288  -0.002371  0.002000  0.001382  -0.006968  0.002964
5  1  -0.045612  0.999307  2.498268  0.000377  0.006811  -0.000257  -0.009010  -0.001291  0.001413  0.000462  0.011631  -0.010490
6  1  -0.008274  0.999461  2.498652  0.000366  -0.003699  -0.005234  0.000680  -0.005959  -0.005822  0.002860  0.002928  0.015432
7  1  0.056821  0.999276  2.498189  0.000184  0.002472  0.000003  0.001842  0.004503  -0.004464  0.006543  0.005440  0.007849
8  1  0.099947  0.999007  2.497518  0.000425  -0.008092  0.007412  0.006121  0.010101  -0.001194  -0.001432  0.000155  0.012729
9  1  -0.053411  0.998979  2.497449  0.000211  -0.001861  0.003618  -0.000338  -0.002047  0.004130  0.003457  0.000964  -0.012662
10  1  -0.026507  0.999269  2.498172  0.000312  0.000450  0.003038  0.010880  -0.000581  0.000824  0.002995  -0.001966  -0.013041
11  1  0.023381  0.999243  2.498107  0.000155  -0.001762  0.000215  0.001915  -0.007444  0.008903  0.002917  -0.001827  0.001100
12  1  0.036291  0.999326  2.498316  0.000292  0.006588  0.005365  0.009866  0.006837  -0.006702  -0.005167  0.002112  0.000302
13  1  0.019727  0.999307  2.498267  0.000466  -0.008202  -0.000385  0.000850  0.012358  0.011362  -0.005185  -0.001358  0.009339
14  1  0.041797  0.999682  2.499205  0.000110  -0.006448  0.004079  0.000679  -0.005253  -0.001910  -0.004056  -0.001060  0.001715
15  1  -0.004843  0.999548  2.498869  0.000243  0.003784  0.008743  -0.003255  -0.010777  -0.002131  -0.000294  -0.003331  0.003094
16  1  0.024623  0.999060  2.497651  0.000211  0.000908  -0.006494  0.003217  -0.008506  -0.001902  -0.007905  -0.002042  -0.003887
17  1  0.046883  0.998664  2.496660  0.000196  -0.005988  -0.001676  0.006760  0.002179  -0.001043  -0.005793  -0.007196  -0.004526
18  1  -0.105797  0.999020  2.497550  0.000124  -0.004907  0.003121  0.002163  0.004533  -0.000479  0.005620  -0.002427  -0.005254
19  1  -0.045015  0.999478  2.498695  0.000187  0.001669  0.003676  -0.007143  -0.008177  0.004453  -0.002222  0.002201  -0.004785
20  1  -0.069214  0.999420  2.498549  0.000337  -0.004299  0.014259  0.003526  0.001049  -0.005849  0.006130  0.005291  0.001208
21  1  -0.039917  0.998831  2.497077  0.000196  0.001396  0.004571  -0.002203  -0.007331  -0.002619  0.009809  0.000017  0.003323
22  1  0.056284  0.999358  2.498395  0.000168  0.000442  0.000177  -0.005321  -0.003151  -0.008089  -0.006374  -0.004879  -0.000282
23  1  0.048433  0.999534  2.498835  0.000156  -0.003591  -0.002256  -0.006532  0.007909  -0.004882  0.002159  0.001454  0.001480
24  1  0.005707  0.999580  2.498950  0.000202  0.001161  -0.005607  -0.002507  0.000335  -0.008269  0.006491  -0.005719  -0.004482
25  1  -0.024820  0.999453  2.498632  0.000132  0.000311  0.000497  0.005287  0.006290  0.007036  -0.000897  0.001871  0.003220
26  1  -0.003878  0.999627  2.499068  0.000087  -0.001768  0.002723  0.001234  0.003812  0.000012  -0.002121  0.001982  -0.007201
27  1  0.027313  0.999632  2.499079  0.000178  0.006263  -0.004103  -0.003166  0.006025  -0.002463  -0.002608  -0.003638  0.007038
28  1  -0.026047  0.999510  2.498774  0.000197  -0.006950  0.009409  0.003634  -0.001133  -0.003302  0.004213  0.003074  0.002720
29  1  -0.058155  0.999585  2.498962  0.000223  -0.001549  0.001272  0.001693  0.001959  -0.008875  -0.011240  -0.002703  0.000514
30  1  -0.002900  0.998586  2.496466  0.000524  0.005163  0.005820  0.015202  0.006492  0.003153  0.009379  0.001773  -0.009450
31  1  -0.128415  0.998951  2.497376  0.000208  0.002606  -0.002339  -0.004406  0.005116  0.007011  -0.007701  -0.006489  0.000004
32  1  -0.067703  0.998888  2.497220  0.000456  -0.007561  0.013408  -0.007503  0.006787  -0.005910  0.004274  -0.004103  0.006816
33  1  0.016583  0.999742  2.499355  0.000164  0.002376  0.001889  -0.007201  -0.001967  0.007182  0.004310  0.003176  0.004289
34  1  0.006325  0.999806  2.499516  0.000402  0.004439  0.003968  -0.000884  0.006022  -0.003348  0.005865  0.006382  0.015591
35  1  -0.013665  0.999278  2.498195  0.000112  -0.006888  0.001053  0.000683  -0.000146  0.001608  0.001714  -0.007577  -0.000332
36  1  -0.041620  0.998634  2.496585  0.000367  -0.008205  -0.003022  -0.007342  0.000658  0.009117  0.005632  -0.000242  0.011016
37  1  0.010537  0.998457  2.496142  0.000235  -0.001096  0.003982  0.001261  -0.001998  0.010952  0.006969  -0.006526  0.000875
38  1  0.027392  0.998852  2.497129  0.000290  -0.011028  -0.006891  -0.001485  0.006744  -0.001653  -0.003374  -0.007310  0.002449
39  1  -0.019389  0.999278  2.498195  0.000263  -0.001328  -0.000414  0.007565  0.006688  -0.007076  -0.004694  0.000522  -0.009299
40  1  -0.040749  0.999461  2.498654  0.000184  0.004007  0.000356  0.003416  0.006000  0.002411  0.001415  -0.002953  -0.010180
41  1  -0.038676  0.999708  2.499269  0.000173  -0.008693  0.001406  -0.003932  0.000235  0.007739  -0.000860  -0.002213  0.003764
42  1  0.002789  0.999801  2.499502  0.000027  -0.002223  -0.000471  0.001360  -0.002454  -0.000912  -0.002486  -0.002243  0.001290
43  1  -0.049397  0.999828  2.499571  0.000228  -0.010783  0.006122  0.001851  -0.002721  -0.003511  0.002741  0.003723  0.005487
44  1  -0.035709  0.999489  2.498722  0.000235  0.002471  -0.010400  0.008069  0.000847  0.000652  0.006862  -0.002562  0.000961
45  1  0.037674  0.999510  2.498774  0.000198  0.001451  -0.004039  0.008342  0.000545  -0.004711  -0.002100  -0.009101  0.000232
46  1  0.061005  0.999719  2.499297  0.000168  -0.000598  0.000215  -0.002727  -0.005623  -0.003431  -0.002572  0.003138  0.010005
47  1  0.085050  0.999729  2.499323  0.000227  -0.002874  0.000608  -0.003397  -0.006750  0.008755  0.001343  -0.008170  -0.004049
48  1  0.031556  0.999529  2.498823  0.000340  0.001560  -0.010952  -0.000907  0.008543  -0.001529  0.004747  -0.005867  0.009214
49  1  -0.004699  0.999635  2.499089  0.000269  0.011178  -0.002590  0.007912  0.003478  0.002850  0.002300  -0.006998  0.000348
50  1  0.030054  0.999528  2.498820  0.000338  -0.002527  0.000412  -0.008818  0.004924  0.006351  -0.003260  0.012753  -0.003920
51  1  0.093066  0.999192  2.497979  0.000262  0.007466  -0.006426  -0.007198  -0.002643  0.010170  0.000452  0.001610  0.000476
52  1  -0.067634  0.998816  2.497041  0.000347  0.007775  -0.007641  -0.008007  -0.005378  0.006773  0.001860  0.009130  0.001715
53  1  -0.005501  0.999113  2.497783  0.000416  -0.001455  -0.004143  -0.009436  -0.012930  0.004689  -0.003146  -0.005231  0.009015
54  1  -0.064557  0.999173  2.497931  0.000113  -0.001417  -0.001609  -0.007785  0.001809  -0.000111  -0.000942  -0.006577  0.000101
55  1  -0.047777  0.999533  2.498832  0.000209  0.005300  0.006713  -0.002890  -0.002140  0.009128  0.005912  -0.002048  -0.000835
56  1  -0.015844  0.999380  2.498450  0.000397  -0.012136  -0.002054  -0.008610  0.003297  -0.007236  0.005141  0.007047  -0.005630
57  1  -0.072815  0.999578  2.498944  0.000690  0.010122  -0.001754  -0.016235  0.005306  -0.011843  0.009587  0.005514  0.005532
58  1  -0.046270  0.999636  2.499091  0.000302  0.005989  -0.000822  -0.003782  0.005745  -0.003597  -0.014263  -0.001154  -0.000309
59  1  -0.006259  0.999640  2.499100  0.000302  0.004104  -0.005588  0.006061  0.003597  -0.002197  0.003087  -0.011817  0.007116
60  1  0.005621  0.999671  2.499177  0.000295  0.001241  -0.012347  -0.000136  -0.001199  0.004607  -0.010548  0.000650  0.002510
61  1  -0.026619  0.999430  2.498576  0.000219  0.003405  0.007420  -0.009511  -0.004917  -0.005464  0.001146  0.002601  0.000037
62  1  -0.023750  0.999441  2.498602  0.000242  0.005872  -0.000099  0.000669  -0.006116  -0.005592  0.002544  0.007159  -0.008969
63  1  -0.066583  0.999383  2.498459  0.000231  0.002204  0.009072  -0.001692  0.000401  0.004521  0.000434  -0.002929  0.010550
0  2  -0.002811  0.999520  2.498801  0.000165  0.003193  0.008198  -0.003487  -0.005829  0.002546  0.001577  0.005447  -0.001689
1  2  0.003511  0.999519  2.498796  0.000509  0.000500  0.005373  0.001818  0.004232  -0.014066  -0.007643  0.000773  0.014216
2  2  0.059010  0.999661  2.499153  0.000091  0.000848  -0.001659  -0.004565  0.006058  -0.002398  0.000423  0.004862  -0.000931
3  2  0.028066  0.999432  2.498579  0.000155  0.001070  0.010814  0.004358  -0.001907  -0.001908  -0.000153  0.000494  -0.003217
4  2  -0.047617  0.999216  2.498040  0.000251  -0.001694  0.001558  -0.000795  0.006810  -0.005215  -0.009272  0.009181  -0.001198
5  2  -0.060136  0.999220  2.498049  0.000126  0.000672  -0.001448  -0.007826  0.000006  -0.005483  0.005300  0.001721  0.001204
