# Test Particle Trajectory
# charge = -1, mass = 0.1
# t,x,y,vx,vy,E_x,E_y,B_z,F_x,F_y,KE
0.000000,55.000000,50.000000,0.000000,0.010000,0.000800,0.000000,0.100000,-0.001800,-0.000000,0.000005
0.000500,55.000000,50.000005,-0.000009,0.010000,0.000800,0.000000,0.100000,-0.001800,-0.000001,0.000005
0.001000,55.000000,50.000010,-0.000018,0.010000,0.000800,0.000000,0.100000,-0.001800,-0.000002,0.000005
0.001500,55.000000,50.000015,-0.000027,0.010000,0.000800,0.000000,0.100000,-0.001800,-0.000003,0.000005
0.002000,55.000000,50.000020,-0.000036,0.010000,0.000800,0.000000,0.100000,-0.001800,-0.000004,0.000005
0.002500,55.000000,50.000025,-0.000045,0.010000,0.000800,0.000000,0.100000,-0.001800,-0.000004,0.000005
0.003000,55.000000,50.000030,-0.000054,0.010000,0.000800,0.000000,0.100000,-0.001800,-0.000005,0.000005
0.003500,55.000000,50.000035,-0.000063,0.010000,0.000800,0.000000,0.100000,-0.001800,-0.000006,0.000005
0.004000,55.000000,50.000040,-0.000072,0.010000,0.000800,0.000000,0.100000,-0.001800,-0.000007,0.000005
0.004500,55.000000,50.000045,-0.000081,0.010000,0.000800,0.000000,0.100000,-0.001800,-0.000008,0.000005
0.005000,55.000000,50.000050,-0.000090,0.010000,0.000800,0.000000,0.100000,-0.001800,-0.000009,0.000005
0.005500,55.000000,50.000055,-0.000099,0.010000,0.000800,0.000000,0.100000,-0.001800,-0.000010,0.000005
0.006000,55.000000,50.000060,-0.000108,0.010000,0.000800,0.000000,0.100000,-0.001800,-0.000011,0.000005
0.006500,55.000000,50.000065,-0.000117,0.010000,0.000800,0.000000,0.100000,-0.001800,-0.000012,0.000005
0.007000,55.000000,50.000070,-0.000126,0.010000,0.000800,0.000000,0.100000,-0.001800,-0.000013,0.000005
0.007500,54.999999,50.000075,-0.000135,0.010000,0.000800,0.000000,0.100000,-0.001800,-0.000013,0.000005
0.008000,54.999999,50.000080,-0.000144,0.009999,0.000800,0.000000,0.100000,-0.001800,-0.000014,0.000005
0.008500,54.999999,50.000085,-0.000153,0.009999,0.000800,0.000000,0.100000,-0.001800,-0.000015,0.000005
0.009000,54.999999,50.000090,-0.000162,0.009999,0.000800,0.000000,0.100000,-0.001800,-0.000016,0.000005
0.009500,54.999999,50.000095,-0.000171,0.009999,0.000800,0.000000,0.100000,-0.001800,-0.000017,0.000005
0.010000,54.999999,50.000100,-0.000180,0.009999,0.000800,0.000000,0.100000,-0.001800,-0.000018,0.000005
0.010500,54.999999,50.000105,-0.000189,0.009999,0.000800,0.000000,0.100000,-0.001800,-0.000019,0.000005
0.011000,54.999999,50.000110,-0.000198,0.009999,0.000800,0.000000,0.100000,-0.001800,-0.000020,0.000005
0.011500,54.999999,50.000115,-0.000207,0.009999,0.000800,0.000000,0.100000,-0.001800,-0.000021,0.000005
0.012000,54.999999,50.000120,-0.000216,0.009999,0.000800,0.000000,0.100000,-0.001800,-0.000022,0.000005
0.012500,54.999999,50.000125,-0.000225,0.009999,0.000800,0.000000,0.100000,-0.001800,-0.000022,0.000005
0.013000,54.999998,50.000130,-0.000234,0.009999,0.000800,0.000000,0.100000,-0.001800,-0.000023,0.000005
