x,y,R
34,5,0.999544
35,5,0.999548
36,5,0.999554
37,5,0.999561
38,5,0.999567
39,5,0.999574
40,5,0.99958
41,5,0.999587
42,5,0.999594
43,5,0.999603
44,5,0.999615
45,5,0.999628
46,5,0.99964
47,5,0.999652
48,5,0.999662
49,5,0.999672
50,5,0.999683
51,5,0.999697
52,5,0.999713
53,5,0.999726
54,5,0.999734
55,5,0.999737
56,5,0.999743
57,5,0.999753
58,5,0.999765
59,5,0.999774
60,5,0.999782
61,5,0.999791
62,5,0.999799
63,5,0.700588
0,6,0.688815
1,6,0.999796
2,6,0.999788
3,6,0.99978
4,6,0.999772
5,6,0.999762
6,6,0.999753
7,6,0.999744
8,6,0.999735
9,6,0.999725
10,6,0.999713
11,6,0.999702
12,6,0.99969
13,6,0.999678
14,6,0.999666
15,6,0.999656
16,6,0.999646
17,6,0.999634
18,6,0.99962
19,6,0.999605
20,6,0.999591
21,6,0.99958
22,6,0.999568
23,6,0.999557
24,6,0.999547
25,6,0.999538
26,6,0.999529
27,6,0.999522
28,6,0.999516
29,6,0.99951
30,6,0.999506
31,6,0.999503
32,6,0.999503
33,6,0.999506
34,6,0.99951
35,6,0.999514
36,6,0.999521
37,6,0.999528
38,6,0.999534
39,6,0.999539
40,6,0.999546
41,6,0.999554
42,6,0.999564
43,6,0.999576
44,6,0.999591
45,6,0.999605
46,6,0.999618
47,6,0.999631
48,6,0.999643
49,6,0.999654
50,6,0.999665
51,6,0.999679
52,6,0.999696
53,6,0.99971
54,6,0.999718
55,6,0.999721
56,6,0.999727
57,6,0.99974
58,6,0.999753
59,6,0.999763
60,6,0.999773
61,6,0.999782
62,6,0.99979
63,6,0.688847
0,7,0.676568
1,7,0.99979
2,7,0.999781
3,7,0.999772
4,7,0.999763
5,7,0.999753
6,7,0.999744
7,7,0.999735
8,7,0.999725
9,7,0.999715
10,7,0.999703
11,7,0.99969
12,7,0.999676
13,7,0.999663
14,7,0.999649
15,7,0.999637
16,7,0.999624
17,7,0.999612
18,7,0.999596
19,7,0.99958
20,7,0.999565
21,7,0.999551
22,7,0.999537
23,7,0.999525
24,7,0.999513
25,7,0.999502
26,7,0.999493
27,7,0.999485
28,7,0.999478
29,7,0.999472
30,7,0.999467
31,7,0.999462
32,7,0.999462
33,7,0.999466
34,7,0.999471
35,7,0.999476
36,7,0.999483
37,7,0.99949
38,7,0.999494
39,7,0.9995
40,7,0.999509
41,7,0.99952
42,7,0.999534
43,7,0.99955
44,7,0.999567
