# Test Particle Trajectory
# charge = -1, mass = 1
# t,x,y,vx,vy,E_x,E_y,B_z,F_x,F_y,KE
0.023500,59.999997,50.002350,-0.000249,0.100000,0.000599,0.000000,0.100000,-0.010599,-0.000025,0.005000
0.024000,59.999997,50.002400,-0.000254,0.100000,0.000599,0.000000,0.100000,-0.010599,-0.000025,0.005000
0.024500,59.999997,50.002450,-0.000260,0.100000,0.000599,0.000000,0.100000,-0.010599,-0.000026,0.005000
0.025000,59.999997,50.002500,-0.000265,0.100000,0.000599,0.000000,0.100000,-0.010599,-0.000026,0.005000
0.025500,59.999997,50.002550,-0.000270,0.100000,0.000599,0.000000,0.100000,-0.010599,-0.000027,0.005000
0.026000,59.999996,50.002600,-0.000276,0.100000,0.000599,0.000000,0.100000,-0.010599,-0.000028,0.005000
0.026500,59.999996,50.002650,-0.000281,0.100000,0.000599,0.000000,0.100000,-0.010599,-0.000028,0.005000
0.027000,59.999996,50.002700,-0.000286,0.100000,0.000599,0.000000,0.100000,-0.010599,-0.000029,0.005000
0.027500,59.999996,50.002750,-0.000291,0.100000,0.000599,0.000000,0.100000,-0.010599,-0.000029,0.005000
0.028000,59.999996,50.002800,-0.000297,0.100000,0.000599,0.000000,0.100000,-0.010599,-0.000030,0.005000
0.028500,59.999996,50.002850,-0.000302,0.100000,0.000599,0.000000,0.100000,-0.010599,-0.000030,0.005000
0.029000,59.999996,50.002900,-0.000307,0.100000,0.000599,0.000000,0.100000,-0.010599,-0.000031,0.005000
0.029500,59.999995,50.002950,-0.000313,0.100000,0.000599,0.000000,0.100000,-0.010599,-0.000031,0.005000
0.030000,59.999995,50.003000,-0.000318,0.100000,0.000599,0.000000,0.100000,-0.010599,-0.000032,0.005000
0.030500,59.999995,50.003050,-0.000323,0.100000,0.000599,0.000000,0.100000,-0.010599,-0.000032,0.005000
0.031000,59.999995,50.003100,-0.000329,0.099999,0.000599,0.000000,0.100000,-0.010599,-0.000033,0.005000
0.031500,59.999995,50.003150,-0.000334,0.099999,0.000599,0.000000,0.100000,-0.010599,-0.000033,0.005000
0.032000,59.999995,50.003200,-0.000339,0.099999,0.000599,0.000000,0.100000,-0.010599,-0.000034,0.005000
0.032500,59.999994,50.003250,-0.000344,0.099999,0.000599,0.000000,0.100000,-0.010599,-0.000034,0.005000
0.033000,59.999994,50.003300,-0.000350,0.099999,0.000599,0.000000,0.100000,-0.010599,-0.000035,0.005000
0.033500,59.999994,50.003350,-0.000355,0.099999,0.000599,0.000000,0.100000,-0.010599,-0.000036,0.005000
0.034000,59.999994,50.003400,-0.000360,0.099999,0.000599,0.000000,0.100000,-0.010599,-0.000036,0.005000
0.034500,59.999994,50.003450,-0.000366,0.099999,0.000599,0.000000,0.100000,-0.010599,-0.000037,0.005000
0.035000,59.999994,50.003500,-0.000371,0.099999,0.000599,0.000000,0.100000,-0.010599,-0.000037,0.005000
0.035500,59.999993,50.003550,-0.000376,0.099999,0.000599,0.000000,0.100000,-0.010599,-0.000038,0.005000
0.036000,59.999993,50.003600,-0.000382,0.099999,0.000599,0.000000,0.100000,-0.010599,-0.000038,0.005000
0.036500,59.999993,50.003650,-0.000387,0.099999,0.000599,0.000000,0.100000,-0.010599,-0.000039,0.005000
0.037000,59.999993,50.003700,-0.000392,0.099999,0.000599,0.000000,0.100000,-0.010599,-0.000039,0.005000
0.037500,59.999993,50.003750,-0.000397,0.099999,0.000599,0.000000,0.100000,-0.010598,-0.000040,0.005000
0.038000,59.999992,50.003800,-0.000403,0.099999,0.000599,0.000000,0.100000,-0.010598,-0.000040,0.005000
0.038500,59.999992,50.003850,-0.000408,0.099999,0.000599,0.000000,0.100000,-0.010598,-0.000041,0.005000
0.039000,59.999992,50.003900,-0.000413,0.099999,0.000599,0.000000,0.100000,-0.010598,-0.000041,0.005000
0.039500,59.999992,50.003950,-0.000419,0.099999,0.000598,0.000000,0.100000,-0.010598,-0.000042,0.005000
0.040000,59.999992,50.004000,-0.000424,0.099999,0.000598,0.000000,0.100000,-0.010598,-0.000042,0.005000
0.040500,59.999991,50.004050,-0.000429,0.099999,0.000598,0.000000,0.100000,-0.010598,-0.000043,0.005000
0.041000,59.999991,50.004100,-0.000435,0.099999,0.000598,0.000000,0.100000,-0.010598,-0.000043,0.005000
0.041500,59.999991,50.004150,-0.000440,0.099999,0.000598,0.000000,0.100000,-0.010598,-0.000044,0.005000
0.042000,59.999991,50.004200,-0.000445,0.099999,0.000598,0.000000,0.100000,-0.010598,-0.000045,0.005000
0.042500,59.999990,50.004250,-0.000450,0.099999,0.000598,0.000000,0.100000,-0.010598,-0.000045,0.005000
0.043000,59.999990,50.004300,-0.000456,0.099999,0.000598,0.000000,0.100000,-0.010598,-0.000046,0.005000
0.043500,59.999990,50.004350,-0.000461,0.099999,0.000598,0.000000,0.100000,-0.010598,-0.000046,0.005000
0.044000,59.999990,50.004400,-0.000466,0.099999,0.000598,0.000000,0.100000,-0.010598,-0.000047,0.005000
0.044500,59.999990,50.004450,-0.000472,0.099999,0.000598,0.000000,0.100000,-0.010598,-0.000047,0.005000
0.045000,59.999989,50.004500,-0.000477,0.099999,0.000598,0.000000,0.100000,-0.010598,-0.000048,0.005000
0.045500,59.999989,50.004550,-0.000482,0.099999,0.000598,0.000000,0.100000,-0.010598,-0.000048,0.005000
0.046000,59.999989,50.004600,-0.000488,0.099999,0.000598,0.000000,0.100000,-0.010598,-0.000049,0.005000
0.046500,59.999989,50.004650,-0.000493,0.099999,0.000598,0.000000,0.100000,-0.010598,-0.000049,0.005000
0.047000,59.999988,50.004700,-0.000498,0.099999,0.000598,0.000000,0.100000,-0.010598,-0.000050,0.005000
0.047500,59.999988,50.004750,-0.000503,0.099999,0.000598,0.000000,0.100000,-0.010598,-0.000050,0.005000
0.048000,59.999988,50.004800,-0.000509,0.099999,0.000598,0.000000,0.100000,-0.010598,-0.000051,0.005000
0.048500,59.999988,50.004850,-0.000514,0.099999,0.000598,0.000000,0.100000,-0.010598,-0.000051,0.005000
0.049000,59.999987,50.004900,-0.000519,0.099999,0.000598,0.000000,0.100000,-0.010598,-0.000052,0.005000
0.049500,59.999987,50.004950,-0.000525,0.099999,0.000598,0.000000,0.100000,-0.010598,-0.000052,0.005000
0.050000,59.999987,50.005000,-0.000530,0.099999,0.000598,0.000000,0.100000,-0.010598,-0.000053,0.005000
0.050500,59.999986,50.005050,-0.000535,0.099999,0.000598,0.000000,0.100000,-0.010598,-0.000054,0.005000
0.051000,59.999986,50.005100,-0.000541,0.099999,0.000598,0.000000,0.100000,-0.010598,-0.000054,0.005000
0.051500,59.999986,50.005150,-0.000546,0.099999,0.000598,0.000000,0.100000,-0.010598,-0.000055,0.005000
