# Field snapshot at t = 10 seconds
# Grid: 64 x 64
# Columns: x  y  theta  R  mass  |psi|^2  psi_0_real  psi_0_imag  psi_1_real  psi_1_imag  psi_2_real  psi_2_imag  psi_3_real  psi_3_imag
45  0  -0.036381  0.999535  2.498838  0.000255  -0.007463  -0.002446  0.001003  -0.011017  0.005896  0.000516  0.004581  0.003896
46  0  -0.095385  0.999690  2.499226  0.000496  0.014452  0.002509  0.002514  0.003284  -0.013524  0.006241  -0.001447  -0.006288
47  0  -0.021207  0.999222  2.498054  0.000464  -0.006233  0.004603  -0.001038  0.014366  0.000058  -0.000779  0.013971  -0.000808
48  0  0.003638  0.999605  2.499014  0.000154  0.004713  -0.000008  0.000703  -0.001245  -0.007526  -0.006945  0.001305  0.004845
49  0  0.005064  0.999795  2.499488  0.000669  -0.005946  0.010893  -0.007606  -0.012061  -0.003329  -0.004827  0.016326  -0.003270
50  0  0.010689  0.999636  2.499090  0.000258  -0.006347  0.007767  0.006558  -0.002684  -0.003292  0.001203  -0.008794  -0.004165
51  0  0.045462  0.999537  2.498843  0.000164  -0.002642  -0.002076  0.004638  0.006439  0.003115  0.000597  -0.008919  0.000664
52  0  -0.022352  0.999212  2.498029  0.000165  0.001204  0.000973  0.004020  -0.002248  -0.008603  0.000027  0.002942  -0.007683
53  0  -0.073168  0.999568  2.498920  0.000127  0.002496  0.002215  0.000193  0.007848  0.005814  0.002307  0.001282  -0.003631
54  0  -0.058942  0.999476  2.498690  0.000780  0.019890  -0.006101  0.006509  0.008573  0.013391  -0.004178  -0.003179  0.004936
55  0  -0.016004  0.999714  2.499285  0.000273  0.000066  -0.005380  0.002082  0.008943  -0.001405  0.004323  -0.002880  -0.011427
56  0  -0.012624  0.999765  2.499413  0.000154  -0.003647  0.004679  0.007533  0.000861  0.003456  -0.002818  0.005932  -0.002518
57  0  -0.034317  0.999711  2.499278  0.000124  -0.000314  -0.005792  -0.000433  0.005385  0.001605  0.005421  -0.005412  -0.000012
58  0  -0.060365  0.999613  2.499031  0.000176  0.004193  0.007117  0.007056  -0.002718  -0.006334  -0.001793  0.000426  -0.002629
59  0  -0.073738  0.999477  2.498691  0.000146  0.003375  0.008042  0.003431  0.003013  0.006436  0.000741  0.000883  0.002583
60  0  -0.057563  0.999272  2.498179  0.000316  -0.000119  -0.004497  -0.007336  0.006211  -0.006125  0.005867  -0.008738  -0.007424
61  0  0.054033  0.999506  2.498766  0.000481  0.001472  -0.016851  -0.001275  0.003002  0.002954  0.011902  -0.003670  -0.004489
62  0  -0.002053  0.999694  2.499235  0.000320  -0.012722  -0.000754  -0.001775  -0.007579  -0.008913  -0.003725  0.000341  -0.001751
63  0  0.023341  0.999787  2.499466  0.000189  0.002173  -0.001180  0.002379  0.006871  0.002030  -0.005775  0.009462  0.001847
0  1  -0.005678  0.999518  2.498795  0.000057  0.005256  -0.000668  0.002611  -0.001375  0.003619  0.000400  -0.000472  -0.002545
1  1  -0.077492  0.999566  2.498914  0.000212  0.007750  -0.003037  0.008553  -0.002836  -0.006514  0.003589  -0.000799  -0.002427
2  1  -0.027757  0.999585  2.498963  0.000247  0.007004  -0.003797  0.000917  0.007369  0.002019  -0.006529  0.006991  -0.005750
3  1  0.007223  0.999550  2.498874  0.000327  0.007604  0.006362  0.006145  0.000985  0.012521  0.005589  -0.001463  0.000432
4  1  0.043386  0.999520  2.498799  0.000083  0.004017  -0.001797  -0.003345  -0.001844  0.001672  0.005704  -0.000786  -0.003625
5  1  0.002811  0.999192  2.497980  0.000215  -0.010604  0.003583  -0.003834  0.004906  -0.000858  0.004460  -0.001931  0.005199
6  1  0.030168  0.999454  2.498634  0.000211  -0.007684  -0.007287  0.001033  -0.003908  -0.001824  -0.002959  0.000216  -0.008393
7  1  -0.021119  0.999349  2.498373  0.000211  0.005997  -0.005803  0.000903  0.005381  -0.004525  0.008211  0.004290  0.002262
8  1  0.020898  0.999345  2.498362  0.000318  -0.001376  -0.006351  -0.006535  -0.003012  0.007716  0.005881  0.006468  -0.009373
9  1  0.057984  0.999340  2.498351  0.000128  -0.003886  0.003151  -0.006786  -0.004196  -0.002237  0.003126  0.003405  -0.003625
10  1  -0.003211  0.999419  2.498549  0.000058  0.002030  -0.000071  -0.000892  0.000224  -0.002022  -0.005595  -0.000752  -0.004076
11  1  -0.022416  0.999391  2.498476  0.000215  -0.001083  -0.002650  0.003599  -0.007423  -0.002407  -0.003341  -0.009840  -0.004994
12  1  -0.009558  0.999295  2.498237  0.000172  -0.000691  0.002197  -0.005198  -0.006855  0.002461  0.004226  -0.004246  0.007146
13  1  0.003708  0.999077  2.497692  0.000095  -0.004225  -0.001107  -0.006034  0.002440  -0.000388  0.001477  -0.004245  0.003664
14  1  -0.040152  0.999335  2.498337  0.000362  -0.005726  0.007872  -0.003569  -0.010534  0.007743  -0.006517  -0.003770  0.005234
15  1  0.020097  0.999063  2.497659  0.000283  0.001288  -0.012407  -0.003104  0.000935  -0.010558  -0.001946  0.001232  -0.000499
16  1  0.003539  0.999758  2.499394  0.000306  -0.006720  -0.000469  0.008854  -0.006986  0.000429  -0.003459  -0.008039  -0.007525
17  1  0.018434  0.999567  2.498917  0.000147  -0.003242  0.001839  0.005603  0.004029  -0.005969  -0.000332  -0.004529  0.005368
18  1  -0.025529  0.999255  2.498138  0.000258  -0.004317  -0.003776  -0.007768  0.000945  0.004613  -0.000967  0.011500  0.003075
19  1  -0.006173  0.999004  2.497509  0.000164  -0.004241  0.002439  -0.005926  0.000075  0.003944  0.002579  -0.008569  0.003096
20  1  -0.018801  0.998959  2.497396  0.000206  0.003031  -0.002525  0.008247  0.008068  -0.001168  0.002346  0.006337  0.003179
21  1  -0.023342  0.999025  2.497562  0.000334  -0.006733  0.003838  0.001879  0.011189  -0.007345  0.001381  -0.008818  -0.003400
22  1  0.040707  0.999077  2.497692  0.000197  -0.002335  0.006131  0.001447  -0.000569  0.008594  0.005614  -0.006410  -0.002215
23  1  -0.035487  0.999492  2.498730  0.000248  -0.004442  -0.001314  -0.007924  0.005374  -0.000112  -0.002821  0.006038  -0.009494
24  1  -0.013201  0.999719  2.499298  0.000232  0.000879  -0.002801  0.006884  -0.001374  -0.008780  0.001253  -0.000339  0.009783
25  1  0.009234  0.999754  2.499385  0.000124  0.007825  -0.004132  -0.003102  -0.005171  -0.000335  0.002602  0.000299  0.001463
