# Test: H1_KnotStability
# Date: 2026-01-05T23:43:11
# Git: 090b6de (main branch)
# TRD Version: v3D Unified
# Golden Key: 246 GeV
# Parameters: K_coupling=1.000000, dt=0.010000, dx=1.000000, evolution_steps=10000, grid_size=64x64x64
#
KnotType,Step,Time,Q_Topological,Energy,CoreRadius,Q_Drift,E_Drift
Hopf_Link,0,0.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,100,1.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,200,2.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,300,3.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,400,4.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,500,5.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,600,6.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,700,7.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,800,8.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,900,9.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,1000,10.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,1100,11.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,1200,12.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,1300,13.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,1400,14.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,1500,15.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,1600,16.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,1700,17.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,1800,18.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,1900,19.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,2000,20.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,2100,21.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,2200,22.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,2300,23.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,2400,24.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,2500,25.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,2600,26.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,2700,27.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,2800,28.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,2900,29.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,3000,30.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,3100,31.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,3200,32.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,3300,33.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,3400,34.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,3500,35.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,3600,36.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,3700,37.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,3800,38.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,3900,39.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,4000,40.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,4100,41.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,4200,42.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,4300,43.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,4400,44.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,4500,45.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,4600,46.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,4700,47.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,4800,48.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,4900,49.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,5000,50.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,5100,51.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,5200,52.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,5300,53.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,5400,54.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,5500,55.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,5600,56.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,5700,57.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,5800,58.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,5900,59.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,6000,60.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,6100,61.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,6200,62.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,6300,63.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,6400,64.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,6500,65.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,6600,66.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,6700,67.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,6800,68.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,6900,69.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,7000,70.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,7100,71.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,7200,72.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,7300,73.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,7400,74.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,7500,75.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,7600,76.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,7700,77.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,7800,78.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,7900,79.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,8000,80.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,8100,81.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,8200,82.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,8300,83.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,8400,84.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,8500,85.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,8600,86.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,8700,87.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,8800,88.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,8900,89.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,9000,90.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,9100,91.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,9200,92.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,9300,93.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,9400,94.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,9500,95.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,9600,96.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,9700,97.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,9800,98.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,9900,99.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Hopf_Link,10000,100.000000,3.737608e-19,38200.098110,32.196086,0.000000,0.000000
Trefoil_Knot,0,0.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,100,1.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,200,2.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,300,3.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,400,4.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,500,5.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,600,6.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,700,7.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,800,8.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,900,9.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,1000,10.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,1100,11.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,1200,12.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,1300,13.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,1400,14.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,1500,15.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,1600,16.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,1700,17.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,1800,18.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,1900,19.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,2000,20.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,2100,21.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,2200,22.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,2300,23.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,2400,24.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,2500,25.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,2600,26.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,2700,27.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,2800,28.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,2900,29.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,3000,30.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,3100,31.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,3200,32.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,3300,33.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,3400,34.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,3500,35.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,3600,36.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,3700,37.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,3800,38.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,3900,39.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,4000,40.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,4100,41.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,4200,42.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,4300,43.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,4400,44.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,4500,45.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,4600,46.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,4700,47.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,4800,48.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,4900,49.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,5000,50.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,5100,51.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,5200,52.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,5300,53.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,5400,54.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,5500,55.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,5600,56.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,5700,57.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,5800,58.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,5900,59.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,6000,60.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,6100,61.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,6200,62.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,6300,63.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,6400,64.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,6500,65.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,6600,66.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,6700,67.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,6800,68.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,6900,69.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,7000,70.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,7100,71.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,7200,72.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,7300,73.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,7400,74.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,7500,75.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,7600,76.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,7700,77.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,7800,78.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,7900,79.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,8000,80.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,8100,81.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,8200,82.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,8300,83.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,8400,84.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,8500,85.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,8600,86.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,8700,87.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,8800,88.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
Trefoil_Knot,8900,89.000000,1.186898e-18,33689.287162,32.358946,0.000000,0.000000
