x,y,theta
0,0,1.38554e-11
1,0,1.36528e-11
2,0,1.37844e-11
3,0,1.38832e-11
4,0,1.37145e-11
5,0,1.33818e-11
6,0,1.31295e-11
7,0,1.30561e-11
8,0,1.31429e-11
9,0,1.3319e-11
10,0,1.34741e-11
11,0,1.35942e-11
12,0,1.36556e-11
13,0,1.36832e-11
14,0,1.38088e-11
15,0,1.41997e-11
16,0,1.47648e-11
17,0,1.45907e-11
18,0,1.43524e-11
19,0,1.37788e-11
20,0,1.28382e-11
21,0,1.19445e-11
22,0,1.17973e-11
23,0,1.27842e-11
24,0,1.44374e-11
25,0,1.59088e-11
26,0,1.62904e-11
27,0,1.53388e-11
28,0,1.35683e-11
29,0,1.19844e-11
30,0,1.16261e-11
31,0,1.30385e-11
32,0,1.5636e-11
33,0,1.69103e-11
34,0,1.65741e-11
35,0,1.46981e-11
36,0,1.25796e-11
37,0,1.18159e-11
38,0,1.29458e-11
39,0,1.47741e-11
40,0,1.55899e-11
41,0,1.48027e-11
42,0,1.33876e-11
43,0,1.27676e-11
44,0,1.33278e-11
45,0,1.41101e-11
46,0,1.41129e-11
47,0,1.36423e-11
48,0,1.35712e-11
49,0,1.35763e-11
50,0,1.40221e-11
51,0,1.40514e-11
52,0,1.36957e-11
53,0,1.35236e-11
54,0,1.36039e-11
55,0,1.37779e-11
56,0,1.37664e-11
57,0,1.34663e-11
58,0,1.3198e-11
59,0,1.30687e-11
60,0,1.3049e-11
61,0,1.34047e-11
62,0,1.39214e-11
63,0,1.46011e-11
64,0,1.48293e-11
65,0,1.40063e-11
66,0,1.36023e-11
67,0,1.37455e-11
68,0,1.40175e-11
69,0,1.43631e-11
70,0,1.42621e-11
71,0,1.35659e-11
72,0,1.30888e-11
73,0,1.31299e-11
74,0,1.35427e-11
75,0,1.37408e-11
76,0,1.35717e-11
77,0,1.32511e-11
78,0,1.32971e-11
79,0,1.40738e-11
80,0,1.49876e-11
81,0,1.45648e-11
82,0,1.38858e-11
83,0,1.32714e-11
84,0,1.29664e-11
85,0,1.30974e-11
86,0,1.34241e-11
87,0,1.3621e-11
88,0,1.35684e-11
89,0,1.34201e-11
90,0,1.34194e-11
91,0,1.36769e-11
92,0,1.3959e-11
93,0,1.411e-11
94,0,1.41211e-11
95,0,1.4139e-11
96,0,1.41575e-11
97,0,1.35797e-11
98,0,1.34991e-11
99,0,1.36056e-11
100,0,1.34946e-11
101,0,1.34875e-11
102,0,1.41215e-11
103,0,1.52763e-11
104,0,1.55346e-11
105,0,1.41144e-11
106,0,1.21453e-11
107,0,1.18528e-11
108,0,1.40475e-11
109,0,1.71814e-11
110,0,1.85861e-11
111,0,1.71294e-11
112,0,1.40068e-11
113,0,1.10543e-11
114,0,1.07309e-11
115,0,1.26194e-11
116,0,1.4914e-11
117,0,1.62086e-11
118,0,1.61053e-11
119,0,1.50966e-11
120,0,1.37803e-11
121,0,1.27821e-11
122,0,1.24295e-11
123,0,1.26599e-11
