x,y,R
0,0,0.991549
1,0,0.996669
2,0,0.996669
3,0,0.996669
4,0,0.996669
5,0,0.996669
6,0,0.996669
7,0,0.996669
8,0,0.996669
9,0,0.996669
10,0,0.996669
11,0,0.996669
12,0,0.996669
13,0,0.996669
14,0,0.996669
15,0,0.985726
16,0,0.940998
17,0,0.996669
18,0,0.996669
19,0,0.996669
20,0,0.996669
21,0,0.996669
22,0,0.996669
23,0,0.996669
24,0,0.996669
25,0,0.996669
26,0,0.996669
27,0,0.996669
28,0,0.996669
29,0,0.996669
30,0,0.996669
31,0,0.775258
32,0,0.775443
33,0,0.996669
34,0,0.996669
35,0,0.996669
36,0,0.996669
37,0,0.996669
38,0,0.996669
39,0,0.996669
40,0,0.996669
41,0,0.996669
42,0,0.996669
43,0,0.996669
44,0,0.996669
45,0,0.996669
46,0,0.996669
47,0,0.890371
48,0,0.852155
49,0,0.996669
50,0,0.996669
51,0,0.996669
52,0,0.996669
53,0,0.996669
54,0,0.996669
55,0,0.996669
56,0,0.996669
57,0,0.996669
58,0,0.996669
59,0,0.99667
60,0,0.996669
61,0,0.996669
62,0,0.996669
63,0,0.997293
64,0,0.961993
65,0,0.996669
66,0,0.996669
67,0,0.996669
68,0,0.996669
69,0,0.996669
70,0,0.996669
71,0,0.996669
72,0,0.996669
73,0,0.996669
74,0,0.996669
75,0,0.996669
76,0,0.996669
77,0,0.996669
78,0,0.996669
79,0,0.889421
80,0,0.937427
81,0,0.996669
82,0,0.996669
83,0,0.996669
84,0,0.996669
85,0,0.996669
86,0,0.996669
87,0,0.996669
88,0,0.996669
89,0,0.996669
90,0,0.996669
91,0,0.996669
92,0,0.996669
93,0,0.996669
94,0,0.996669
95,0,0.775321
96,0,0.785526
97,0,0.996669
98,0,0.996669
99,0,0.996669
100,0,0.996669
101,0,0.996669
102,0,0.996669
103,0,0.996669
104,0,0.996669
105,0,0.996669
106,0,0.996669
107,0,0.996669
108,0,0.996669
109,0,0.996669
110,0,0.996669
111,0,0.903183
112,0,0.812897
113,0,0.996669
114,0,0.996669
115,0,0.996669
116,0,0.996669
117,0,0.996669
118,0,0.996669
119,0,0.996669
120,0,0.996669
121,0,0.996669
122,0,0.996669
123,0,0.996669
124,0,0.996669
125,0,0.996669
126,0,0.996669
127,0,0.99839
0,1,0.99839
1,1,0.996669
2,1,0.996669
3,1,0.996669
4,1,0.996669
5,1,0.996669
6,1,0.996669
7,1,0.996669
8,1,0.996669
9,1,0.996669
10,1,0.996669
11,1,0.996669
12,1,0.996669
13,1,0.996669
14,1,0.996669
15,1,0.996669
16,1,0.996669
17,1,0.996669
18,1,0.996669
19,1,0.996669
20,1,0.996669
21,1,0.996669
22,1,0.996669
23,1,0.996669
24,1,0.996669
25,1,0.996669
26,1,0.996669
27,1,0.996669
28,1,0.996669
29,1,0.996669
30,1,0.996669
31,1,0.996669
32,1,0.996669
33,1,0.996669
34,1,0.996669
35,1,0.996669
36,1,0.996669
37,1,0.996669
38,1,0.996669
39,1,0.996669
40,1,0.996669
41,1,0.996669
42,1,0.996669
43,1,0.996669
44,1,0.996669
45,1,0.996669
46,1,0.996669
47,1,0.996669
48,1,0.996669
49,1,0.996669
50,1,0.996669
51,1,0.996669
52,1,0.996669
53,1,0.996669
54,1,0.996669
55,1,0.996669
56,1,0.996669
57,1,0.996669
58,1,0.996669
59,1,0.99667
60,1,0.996669
61,1,0.996669
62,1,0.996669
63,1,0.996669
64,1,0.996669
65,1,0.996669
66,1,0.996669
67,1,0.996669
68,1,0.996669
69,1,0.996669
70,1,0.996669
71,1,0.996669
72,1,0.996669
73,1,0.996669
74,1,0.996669
75,1,0.996669
76,1,0.996669
77,1,0.996669
78,1,0.996669
79,1,0.996669
80,1,0.996669
81,1,0.996669
82,1,0.996669
83,1,0.996669
84,1,0.996669
85,1,0.996669
86,1,0.996669
87,1,0.996669
88,1,0.996669
89,1,0.996669
90,1,0.996669
91,1,0.996669
92,1,0.996669
93,1,0.996669
94,1,0.996669
95,1,0.996669
96,1,0.996669
97,1,0.996669
98,1,0.996669
99,1,0.996669
100,1,0.996669
101,1,0.996669
102,1,0.996669
103,1,0.996669
104,1,0.996669
105,1,0.996669
106,1,0.996669
107,1,0.996669
108,1,0.996669
109,1,0.996669
110,1,0.996669
111,1,0.996669
112,1,0.996669
113,1,0.996669
114,1,0.996669
115,1,0.996669
116,1,0.996669
117,1,0.996669
118,1,0.996669
119,1,0.996669
120,1,0.996669
121,1,0.996669
122,1,0.996669
123,1,0.996669
124,1,0.996669
125,1,0.996669
126,1,0.996669
127,1,0.99839
0,2,0.99839
1,2,0.996669
2,2,0.996669
3,2,0.996669
4,2,0.996669
5,2,0.996669
6,2,0.996669
7,2,0.996669
8,2,0.996669
9,2,0.996669
10,2,0.996669
11,2,0.996669
12,2,0.996669
13,2,0.996669
14,2,0.996669
15,2,0.996669
16,2,0.996669
17,2,0.996669
18,2,0.996669
19,2,0.996669
20,2,0.996669
21,2,0.996669
22,2,0.996669
23,2,0.996669
24,2,0.996669
25,2,0.996669
26,2,0.996669
27,2,0.996669
28,2,0.996669
29,2,0.996669
30,2,0.996669
31,2,0.996669
32,2,0.996669
33,2,0.996669
34,2,0.996669
35,2,0.996669
36,2,0.996669
37,2,0.996669
38,2,0.996669
39,2,0.996669
40,2,0.996669
41,2,0.996669
42,2,0.996669
43,2,0.996669
44,2,0.996669
45,2,0.996669
46,2,0.996669
47,2,0.996669
48,2,0.996669
49,2,0.996669
50,2,0.996669
51,2,0.996669
52,2,0.996669
53,2,0.996669
54,2,0.996669
55,2,0.996669
56,2,0.996669
57,2,0.996669
58,2,0.996669
59,2,0.99667
60,2,0.996669
61,2,0.996669
62,2,0.996669
63,2,0.996669
64,2,0.996669
65,2,0.996669
66,2,0.996669
67,2,0.996669
68,2,0.996669
69,2,0.996669
70,2,0.996669
71,2,0.996669
72,2,0.996669
73,2,0.996669
74,2,0.996669
75,2,0.996669
76,2,0.996669
77,2,0.996669
78,2,0.996669
79,2,0.996669
80,2,0.996669
81,2,0.996669
82,2,0.996669
83,2,0.996669
84,2,0.996669
85,2,0.996669
86,2,0.996669
87,2,0.996669
88,2,0.996669
89,2,0.996669
90,2,0.996669
91,2,0.996669
92,2,0.996669
93,2,0.996669
94,2,0.996669
95,2,0.996669
96,2,0.996669
97,2,0.996669
98,2,0.996669
99,2,0.996669
100,2,0.996669
101,2,0.996669
102,2,0.996669
103,2,0.996669
104,2,0.996669
105,2,0.996669
106,2,0.996669
107,2,0.996669
108,2,0.996669
109,2,0.996669
110,2,0.996669
111,2,0.996669
112,2,0.996669
113,2,0.996669
114,2,0.996669
115,2,0.996669
116,2,0.996669
117,2,0.996669
118,2,0.996669
119,2,0.996669
120,2,0.996669
121,2,0.996669
122,2,0.996669
123,2,0.996669
124,2,0.996669
125,2,0.996669
126,2,0.996669
127,2,0.99839
0,3,0.99839
1,3,0.996669
2,3,0.996669
3,3,0.996669
4,3,0.996669
5,3,0.996669
6,3,0.996669
7,3,0.996669
8,3,0.996669
9,3,0.996669
10,3,0.996669
11,3,0.996669
12,3,0.996669
13,3,0.996669
14,3,0.996669
15,3,0.996669
16,3,0.996669
17,3,0.996669
18,3,0.996669
19,3,0.996669
20,3,0.996669
21,3,0.996669
22,3,0.996669
23,3,0.996669
24,3,0.996669
25,3,0.996669
26,3,0.996669
27,3,0.996669
28,3,0.996669
29,3,0.996669
30,3,0.996669
31,3,0.996669
32,3,0.996669
33,3,0.996669
34,3,0.996669
35,3,0.996669
36,3,0.996669
37,3,0.996669
38,3,0.996669
39,3,0.996669
40,3,0.996669
41,3,0.996669
42,3,0.996669
43,3,0.996669
44,3,0.996669
45,3,0.996669
46,3,0.996669
47,3,0.996669
48,3,0.996669
49,3,0.996669
50,3,0.996669
51,3,0.996669
52,3,0.996669
53,3,0.996669
54,3,0.996669
55,3,0.996669
56,3,0.996669
57,3,0.996669
58,3,0.996669
59,3,0.99667
60,3,0.996669
61,3,0.996669
62,3,0.996669
63,3,0.996669
64,3,0.996669
65,3,0.996669
66,3,0.996669
67,3,0.996669
68,3,0.996669
69,3,0.996669
70,3,0.996669
71,3,0.996669
72,3,0.996669
73,3,0.996669
74,3,0.996669
75,3,0.996669
76,3,0.996669
77,3,0.996669
78,3,0.996669
79,3,0.996669
80,3,0.996669
81,3,0.996669
82,3,0.996669
83,3,0.996669
84,3,0.996669
85,3,0.996669
86,3,0.996669
87,3,0.996669
88,3,0.996669
89,3,0.996669
90,3,0.996669
91,3,0.996669
92,3,0.996669
93,3,0.996669
94,3,0.996669
95,3,0.996669
96,3,0.996669
97,3,0.996669
98,3,0.996669
99,3,0.996669
100,3,0.996669
101,3,0.996669
102,3,0.996669
103,3,0.996669
104,3,0.996669
105,3,0.996669
106,3,0.996669
107,3,0.996669
108,3,0.996669
109,3,0.996669
110,3,0.996669
111,3,0.996669
112,3,0.996669
113,3,0.996669
114,3,0.996669
115,3,0.996669
