# Timeseries for σ = 1.500000e+00
# step  t  R_global  L
176  1.760000  0.299482  1269.363281
177  1.770000  0.299279  1267.514038
178  1.780000  0.297382  1263.180054
179  1.790000  0.294654  1245.660400
180  1.800000  0.292306  1232.160034
181  1.810000  0.290461  1225.858643
182  1.820000  0.288530  1212.724121
183  1.830000  0.287078  1204.133911
184  1.840000  0.285262  1200.052246
185  1.850000  0.283236  1184.304077
186  1.860000  0.282396  1185.755859
187  1.870000  0.281473  1180.453613
188  1.880000  0.279404  1177.625977
189  1.890000  0.277026  1160.574951
190  1.900000  0.275480  1157.192749
191  1.910000  0.273678  1152.166016
192  1.920000  0.272585  1150.628174
193  1.930000  0.270670  1137.747925
194  1.940000  0.268439  1129.809204
195  1.950000  0.265836  1115.257202
196  1.960000  0.263855  1108.162354
197  1.970000  0.263477  1103.264404
198  1.980000  0.261136  1099.395142
199  1.990000  0.260034  1100.177490
200  2.000000  0.258075  1090.467529
201  2.010000  0.256745  1086.134033
202  2.020000  0.256669  1083.443237
203  2.030000  0.255457  1079.195557
204  2.040000  0.254082  1067.384521
205  2.050000  0.252219  1057.604126
206  2.060000  0.250360  1058.366455
207  2.070000  0.247850  1054.071289
208  2.080000  0.245812  1046.833862
209  2.090000  0.244976  1042.906006
210  2.100000  0.244509  1045.659912
211  2.110000  0.245012  1047.754150
212  2.120000  0.244514  1049.655640
213  2.130000  0.242132  1047.617798
214  2.140000  0.239873  1044.426758
215  2.150000  0.238543  1036.665283
216  2.160000  0.238377  1034.438599
217  2.170000  0.237739  1038.003052
218  2.180000  0.236286  1038.317261
219  2.190000  0.236672  1040.354004
220  2.200000  0.236437  1037.203735
221  2.210000  0.235213  1033.660645
222  2.220000  0.234521  1035.926025
223  2.230000  0.232471  1033.279907
224  2.240000  0.231275  1026.491699
225  2.250000  0.229974  1017.808838
226  2.260000  0.228947  1022.407654
227  2.270000  0.226628  1010.268127
228  2.280000  0.226277  1013.442749
229  2.290000  0.224926  1010.755188
230  2.300000  0.224822  1012.121399
231  2.310000  0.224733  997.309631
232  2.320000  0.224791  1000.194885
233  2.330000  0.224265  992.951416
234  2.340000  0.223815  984.330200
235  2.350000  0.222696  978.281738
236  2.360000  0.221548  974.433960
237  2.370000  0.221159  969.054260
238  2.380000  0.220008  973.265930
239  2.390000  0.219087  972.307922
240  2.400000  0.217261  961.965820
241  2.410000  0.217224  962.150818
