# Binary Merger Gravitational Waveform
# time,h_plus,h_cross
0.00000000e+00,0.00000000e+00,0.00000000e+00
4.99999791e-01,0.00000000e+00,0.00000000e+00
9.99999344e-01,0.00000000e+00,0.00000000e+00
1.49999893e+00,0.00000000e+00,0.00000000e+00
1.99999845e+00,0.00000000e+00,0.00000000e+00
2.49999809e+00,0.00000000e+00,0.00000000e+00
2.99999762e+00,0.00000000e+00,0.00000000e+00
3.49999714e+00,0.00000000e+00,0.00000000e+00
3.99999666e+00,0.00000000e+00,0.00000000e+00
4.50000811e+00,0.00000000e+00,0.00000000e+00
5.00001955e+00,0.00000000e+00,0.00000000e+00
5.50003099e+00,0.00000000e+00,0.00000000e+00
6.00004244e+00,0.00000000e+00,0.00000000e+00
6.50005388e+00,0.00000000e+00,0.00000000e+00
7.00006533e+00,0.00000000e+00,0.00000000e+00
7.50007677e+00,0.00000000e+00,0.00000000e+00
8.00008774e+00,0.00000000e+00,0.00000000e+00
8.50009918e+00,0.00000000e+00,0.00000000e+00
9.00011063e+00,0.00000000e+00,0.00000000e+00
9.50012207e+00,0.00000000e+00,0.00000000e+00
1.00001335e+01,0.00000000e+00,0.00000000e+00
1.05001450e+01,0.00000000e+00,0.00000000e+00
1.10001564e+01,0.00000000e+00,0.00000000e+00
1.15001678e+01,0.00000000e+00,0.00000000e+00
1.20001793e+01,0.00000000e+00,0.00000000e+00
1.25001907e+01,0.00000000e+00,0.00000000e+00
1.30002022e+01,0.00000000e+00,0.00000000e+00
1.35002136e+01,0.00000000e+00,0.00000000e+00
1.40002251e+01,0.00000000e+00,0.00000000e+00
1.45002365e+01,0.00000000e+00,0.00000000e+00
1.50002480e+01,0.00000000e+00,0.00000000e+00
1.55002594e+01,0.00000000e+00,0.00000000e+00
1.60002708e+01,0.00000000e+00,0.00000000e+00
1.65002823e+01,0.00000000e+00,0.00000000e+00
1.70002937e+01,0.00000000e+00,0.00000000e+00
1.75003052e+01,0.00000000e+00,0.00000000e+00
1.80003166e+01,0.00000000e+00,0.00000000e+00
1.85003281e+01,0.00000000e+00,0.00000000e+00
1.90003395e+01,0.00000000e+00,0.00000000e+00
1.95003510e+01,0.00000000e+00,0.00000000e+00
2.00003624e+01,0.00000000e+00,0.00000000e+00
2.05003738e+01,0.00000000e+00,0.00000000e+00
2.10003853e+01,0.00000000e+00,0.00000000e+00
2.15003967e+01,0.00000000e+00,0.00000000e+00
2.20004082e+01,0.00000000e+00,0.00000000e+00
2.25004196e+01,0.00000000e+00,0.00000000e+00
2.30004311e+01,0.00000000e+00,0.00000000e+00
2.35004425e+01,0.00000000e+00,0.00000000e+00
2.40004539e+01,0.00000000e+00,0.00000000e+00
2.45004654e+01,0.00000000e+00,0.00000000e+00
2.50004768e+01,0.00000000e+00,0.00000000e+00
2.55004883e+01,0.00000000e+00,0.00000000e+00
2.60004997e+01,0.00000000e+00,0.00000000e+00
2.65005112e+01,0.00000000e+00,0.00000000e+00
2.70005226e+01,0.00000000e+00,0.00000000e+00
2.75005341e+01,0.00000000e+00,0.00000000e+00
2.80005455e+01,0.00000000e+00,0.00000000e+00
2.85005569e+01,0.00000000e+00,0.00000000e+00
2.90005684e+01,0.00000000e+00,0.00000000e+00
2.95005798e+01,0.00000000e+00,0.00000000e+00
3.00005913e+01,0.00000000e+00,0.00000000e+00
3.05006027e+01,0.00000000e+00,0.00000000e+00
3.10006142e+01,0.00000000e+00,0.00000000e+00
3.15006256e+01,0.00000000e+00,0.00000000e+00
3.20006371e+01,0.00000000e+00,0.00000000e+00
3.25005531e+01,0.00000000e+00,0.00000000e+00
3.30004692e+01,0.00000000e+00,0.00000000e+00
3.35003853e+01,0.00000000e+00,0.00000000e+00
3.40003014e+01,0.00000000e+00,0.00000000e+00
3.45002174e+01,0.00000000e+00,0.00000000e+00
3.50001335e+01,0.00000000e+00,0.00000000e+00
3.55000496e+01,0.00000000e+00,0.00000000e+00
3.59999657e+01,0.00000000e+00,0.00000000e+00
3.64998817e+01,0.00000000e+00,0.00000000e+00
3.69997978e+01,0.00000000e+00,0.00000000e+00
3.74997139e+01,0.00000000e+00,0.00000000e+00
3.79996300e+01,0.00000000e+00,0.00000000e+00
3.84995461e+01,0.00000000e+00,0.00000000e+00
3.89994621e+01,0.00000000e+00,0.00000000e+00
3.94993782e+01,0.00000000e+00,0.00000000e+00
3.99992943e+01,0.00000000e+00,0.00000000e+00
4.04992104e+01,0.00000000e+00,0.00000000e+00
4.09991264e+01,0.00000000e+00,0.00000000e+00
4.14990425e+01,0.00000000e+00,0.00000000e+00
4.19989586e+01,0.00000000e+00,0.00000000e+00
4.24988747e+01,0.00000000e+00,0.00000000e+00
4.29987907e+01,0.00000000e+00,0.00000000e+00
4.34987068e+01,0.00000000e+00,0.00000000e+00
4.39986229e+01,0.00000000e+00,0.00000000e+00
4.44985390e+01,0.00000000e+00,0.00000000e+00
4.49984550e+01,0.00000000e+00,0.00000000e+00
4.54983711e+01,0.00000000e+00,0.00000000e+00
4.59982872e+01,0.00000000e+00,0.00000000e+00
4.64982033e+01,0.00000000e+00,0.00000000e+00
4.69981194e+01,0.00000000e+00,0.00000000e+00
4.74980354e+01,0.00000000e+00,0.00000000e+00
4.79979515e+01,0.00000000e+00,0.00000000e+00
4.84978676e+01,0.00000000e+00,0.00000000e+00
4.89977837e+01,0.00000000e+00,0.00000000e+00
4.94976997e+01,0.00000000e+00,0.00000000e+00
