# x y B_z phi A'_x A'_y
63 1 0 -0.785398 0 0

0 2 0 -2.38844 0 0
1 2 -0.00831723 -2.29131 0.0892488 0.0147717
2 2 0 -2.20994 0.0754265 0.0428004
3 2 0 -2.14046 0.0656861 0.0666806
4 2 0 -2.07857 0.0582062 0.0876052
5 2 0 -2.02404 0.0514587 0.10503
6 2 0 -1.97565 0.0470462 0.119535
7 2 0 -1.92995 0.0430115 0.132511
8 2 0 -1.88963 0.0358814 0.142264
9 2 0 -1.85819 0.0277452 0.147285
10 2 0 -1.83414 0.0222173 0.14859
11 2 0 -1.81375 0.019881 0.148024
12 2 0 -1.79438 0.0194387 0.14678
13 2 0 -1.77488 0.0197405 0.145334
14 2 0 -1.7549 0.0202568 0.143833
15 2 0 -1.73436 0.0208202 0.142299
16 2 0 -1.71326 0.0213891 0.140746
17 2 0 -1.69158 0.0219545 0.139174
18 2 0 -1.66935 0.0225126 0.137587
19 2 0 -1.64656 0.023057 0.135982
20 2 0 -1.62323 0.023586 0.134365
21 2 0 -1.59939 0.0240945 0.132734
22 2 0 -1.57505 0.0245785 0.131094
23 2 0 -1.55023 0.0250329 0.129445
24 2 0 -1.52498 0.0254538 0.127788
25 2 0 -1.49932 0.0258387 0.126125
26 2 0 -1.4733 0.0261809 0.124456
27 2 0 -1.44696 0.0264767 0.122783
28 2 0 -1.42035 0.0267246 0.121109
29 2 0 -1.39351 0.0269219 0.119431
30 2 0 -1.3665 0.0270636 0.117753
31 2 0 -1.33938 0.0271476 0.116073
32 2 0 -1.31221 0.0271764 0.114394
33 2 0 -1.28503 0.027149 0.112712
34 2 0 -1.25791 0.0270627 0.111034
35 2 0 -1.23091 0.0269212 0.109354
36 2 0 -1.20407 0.0267254 0.107676
37 2 0 -1.17746 0.0264781 0.106002
38 2 0 -1.15111 0.026181 0.10433
39 2 0 -1.12509 0.0258363 0.102661
40 2 0 -1.09944 0.0254531 0.100997
41 2 0 -1.07419 0.0250335 0.0993407
42 2 0 -1.04937 0.0245788 0.0976901
43 2 0 -1.02503 0.0240949 0.0960501
44 2 0 -1.00118 0.0235862 0.0944199
45 2 0 -0.977858 0.0230571 0.0928019
46 2 0 -0.955069 0.0225122 0.0911982
47 2 0 -0.932833 0.0219555 0.0896104
48 2 0 -0.911158 0.0213886 0.0880378
49 2 0 -0.890056 0.0208136 0.0864851
50 2 0 -0.869531 0.0202226 0.0849496
51 2 0 -0.849611 0.0195662 0.0834247
52 2 0 -0.830399 0.0186866 0.08187
53 2 0 -0.812238 0.0172409 0.0801417
54 2 0 -0.795917 0.0148601 0.0778885
55 2 0 -0.782517 0.011777 0.0745742
56 2 0 -0.772363 0.00912809 0.0699393
57 2 0 -0.764261 0.00747725 0.0644885
58 2 0 -0.757409 0.0056577 0.0587354
59 2 0 -0.752946 0.00308746 0.052218
60 2 0 -0.751234 0.00026843 0.0447546
61 2 0 -0.752409 -0.00332689 0.0364964
62 2 -0.00833026 -0.757887 -0.00829864 0.0270496
63 2 0 -0.769006 0 0

0 3 0 -2.40534 0 0
1 3 -0.00858033 -2.28034 0.116034 0.00863516
2 3 0 -2.17327 0.0994726 0.0326595
3 3 0 -2.08139 0.086958 0.0540901
4 3 0 -1.99935 0.0767635 0.0734348
5 3 0 -1.92787 0.0670518 0.0893946
6 3 0 -1.86525 0.0605213 0.103143
7 3 0 -1.80683 0.0540432 0.115444
8 3 0 -1.75716 0.042869 0.124098
9 3 0 -1.72109 0.0306134 0.128132
10 3 0 -1.69593 0.0224752 0.128956
11 3 0 -1.67614 0.018998 0.12832
12 3 0 -1.65794 0.0181766 0.127194
13 3 0 -1.63978 0.0183703 0.125932
14 3 0 -1.6212 0.0188502 0.124633
15 3 0 -1.60208 0.0193914 0.123315
16 3 0 -1.58242 0.0199473 0.121985
17 3 0 -1.56219 0.0205011 0.120647
18 3 0 -1.54141 0.0210461 0.1193
19 3 0 -1.5201 0.0215807 0.117946
20 3 0 -1.49825 0.0221009 0.116587
21 3 0 -1.47589 0.0226028 0.115225
22 3 0 -1.45305 0.0230821 0.113861
23 3 0 -1.42973 0.0235329 0.112496
24 3 0 -1.40598 0.0239508 0.111132
25 3 0 -1.38183 0.0243323 0.10977
26 3 0 -1.35732 0.0246736 0.10841
27 3 0 -1.33248 0.0249706 0.107053
28 3 0 -1.30737 0.0252185 0.105698
29 3 0 -1.28204 0.0254151 0.104347
30 3 0 -1.25654 0.0255568 0.102996
31 3 0 -1.23093 0.0256442 0.101648
32 3 0 -1.20526 0.0256723 0.100303
33 3 0 -1.17959 0.0256425 0.0989548
34 3 0 -1.15397 0.0255566 0.0976066
35 3 0 -1.12847 0.025414 0.096258
36 3 0 -1.10314 0.0252193 0.0949053
37 3 0 -1.07803 0.0249708 0.0935517
38 3 0 -1.0532 0.0246739 0.0921936
39 3 0 -1.02869 0.0243326 0.0908341
40 3 0 -1.00454 0.023951 0.0894732
41 3 0 -0.980785 0.0235316 0.08811
42 3 0 -0.957473 0.0230805 0.0867451
43 3 0 -0.934624 0.0226035 0.0853808
44 3 0 -0.912266 0.0221013 0.0840184
45 3 0 -0.890421 0.0215805 0.0826595
46 3 0 -0.869105 0.0210463 0.0813052
47 3 0 -0.848329 0.0205005 0.079958
48 3 0 -0.828104 0.0199469 0.0786183
49 3 0 -0.808435 0.0193863 0.077289
50 3 0 -0.789331 0.0188063 0.0759699
51 3 0 -0.770822 0.0181423 0.0746587
52 3 0 -0.753047 0.0171759 0.0733279
