# Field snapshot at t = 3
# Grid: 64 x 64
# Columns: x  y  theta  R  mass  |psi|^2  psi_0_real  psi_0_imag  psi_1_real  psi_1_imag  psi_2_real  psi_2_imag  psi_3_real  psi_3_imag
45  0  0.053486  0.999179  2.497947  0.000115  -0.000427  0.002690  0.003852  -0.005765  0.001033  0.003495  -0.006694  0.000970
46  0  -0.015794  0.999013  2.497533  0.000318  0.001645  0.003534  -0.006718  0.006642  0.008410  -0.000553  0.000173  -0.011932
47  0  0.057574  0.999222  2.498056  0.000179  -0.008408  -0.004093  0.002091  0.004225  0.006024  0.003994  0.003339  -0.002341
48  0  -0.014147  0.999625  2.499062  0.000237  0.001173  -0.001739  -0.002540  0.002693  -0.003113  -0.012846  0.004730  0.004619
49  0  0.001137  0.999835  2.499587  0.000249  -0.002676  0.002931  -0.010640  -0.000532  -0.004197  -0.007734  0.003849  -0.005270
50  0  -0.006367  0.999933  2.499833  0.000178  -0.006048  -0.000114  -0.003156  0.002943  0.002665  -0.006935  0.004497  -0.006867
51  0  -0.012707  0.999812  2.499531  0.000214  0.004790  0.001161  0.006242  -0.002031  0.004767  0.001066  0.006063  -0.009265
52  0  -0.037607  0.999822  2.499554  0.000153  -0.002477  -0.003686  0.008778  -0.001596  0.003313  -0.000728  -0.006057  -0.002235
53  0  -0.030297  0.999539  2.498848  0.000122  -0.001026  -0.003876  0.002837  -0.001480  -0.003644  0.002621  0.008290  -0.002522
54  0  0.026248  0.999486  2.498715  0.000193  -0.000384  -0.008454  0.004254  -0.006519  -0.005823  0.001405  0.004801  -0.001433
55  0  0.008837  0.999650  2.499124  0.000183  -0.009653  0.001505  -0.001577  0.001455  0.001795  -0.003771  0.004238  0.006904
56  0  0.005845  0.999288  2.498219  0.000312  0.006133  0.000040  0.003651  -0.008339  -0.007012  0.000549  0.003324  -0.011436
57  0  0.076884  0.999275  2.498187  0.000220  0.003124  0.008740  -0.005983  -0.004598  0.005088  0.000983  0.004488  0.005510
58  0  0.023097  0.999370  2.498425  0.000289  -0.007587  -0.004444  -0.004454  -0.000124  0.005496  0.007487  0.000854  0.010222
59  0  0.009068  0.999496  2.498739  0.000091  0.000166  -0.000780  -0.001732  -0.000315  0.008668  0.001053  0.001613  0.002843
60  0  -0.026053  0.999292  2.498230  0.000362  0.003874  -0.000304  0.006205  -0.008383  -0.010182  -0.009411  -0.006479  -0.002086
61  0  -0.040204  0.999804  2.499510  0.000236  0.009117  -0.001714  -0.002418  0.000661  -0.010679  0.001758  0.003482  0.003800
62  0  -0.053437  0.999739  2.499349  0.000096  0.001621  -0.003801  0.003295  -0.001921  0.006878  0.001663  0.002230  0.003013
63  0  0.009791  0.999659  2.499146  0.000343  -0.004062  -0.002063  -0.001059  0.014836  0.007010  0.006865  -0.000401  -0.002256
0  1  0.023427  0.999535  2.498838  0.000188  0.001817  0.009874  -0.003922  0.001437  0.000801  0.003223  0.000924  0.007575
1  1  0.057762  0.999549  2.498874  0.000147  0.001488  -0.003786  0.008608  -0.001864  0.006906  -0.001620  0.000925  -0.001371
2  1  0.020221  0.999500  2.498750  0.000234  0.005451  -0.006324  0.002378  0.008402  -0.004172  -0.004957  0.000226  -0.006761
3  1  0.018840  0.999623  2.499058  0.000341  -0.007015  0.003318  -0.000801  0.012756  -0.001095  0.007775  0.004519  0.005933
4  1  -0.056099  0.999378  2.498444  0.000199  -0.005787  0.009412  0.003872  -0.000583  0.001301  0.003294  -0.002532  -0.006533
5  1  0.011532  0.999109  2.497773  0.000339  -0.008207  0.008772  -0.011042  0.006246  -0.004946  0.002314  -0.001873  0.000136
