x,y,theta
0,0,2.11957e-21
1,0,5.79923e-21
2,0,6.55936e-21
3,0,1.74803e-20
4,0,7.93833e-21
5,0,2.86671e-21
6,0,4.61096e-21
7,0,3.63428e-21
8,0,7.29489e-21
9,0,2.91937e-21
10,0,7.09506e-21
11,0,1.94346e-21
12,0,2.65474e-21
13,0,1.49244e-21
14,0,2.11337e-21
15,0,2.6737e-21
16,0,1.59035e-22
17,0,1.90772e-22
18,0,1.40096e-21
19,0,5.7262e-22
20,0,8.54844e-22
21,0,6.82256e-22
22,0,2.95145e-22
23,0,5.94862e-22
24,0,2.03556e-22
25,0,7.3529e-22
26,0,1.34615e-21
27,0,9.60695e-22
28,0,1.50874e-21
29,0,1.56262e-21
30,0,4.5247e-22
31,0,2.13479e-21
32,0,1.35285e-21
33,0,9.48857e-22
34,0,1.26684e-21
35,0,5.85282e-21
36,0,8.67241e-22
37,0,1.61642e-22
38,0,1.03961e-21
39,0,1.78975e-21
40,0,1.34067e-21
41,0,1.90968e-21
42,0,5.32541e-21
43,0,2.3365e-21
44,0,4.28709e-21
45,0,3.74632e-21
46,0,7.7109e-21
47,0,2.32947e-21
48,0,2.55479e-21
49,0,4.09471e-21
50,0,3.95152e-21
51,0,1.03619e-21
52,0,4.09308e-21
53,0,1.88719e-21
54,0,7.46938e-22
55,0,5.01444e-22
56,0,1.0842e-22
57,0,4.33681e-22
58,0,4.33681e-21
59,0,3.6973e-21
60,0,7.80626e-21
61,0,1.04083e-20
62,0,2.77556e-20
63,0,0
64,0,3.38813e-24
65,0,1.73472e-21
66,0,6.93889e-21
67,0,4.51028e-20
68,0,4.33681e-21
69,0,1.40895e-20
70,0,8.67362e-21
71,0,2.1684e-21
72,0,6.50521e-22
73,0,1.0571e-21
74,0,6.31599e-22
75,0,1.83721e-21
76,0,3.90567e-21
77,0,1.05567e-21
78,0,3.89589e-21
79,0,4.16141e-21
80,0,2.48981e-21
81,0,2.31893e-21
82,0,7.64994e-21
83,0,3.70027e-21
84,0,4.28857e-21
85,0,2.3122e-21
86,0,5.26271e-21
87,0,1.91568e-21
88,0,1.2964e-21
89,0,1.77686e-21
90,0,1.0207e-21
91,0,1.68866e-22
92,0,8.5011e-22
93,0,5.8234e-21
94,0,1.3306e-21
95,0,1.01219e-21
96,0,1.33984e-21
97,0,2.21733e-21
98,0,4.83458e-22
99,0,1.56157e-21
100,0,1.48784e-21
101,0,9.37421e-22
102,0,1.31618e-21
103,0,7.4364e-22
104,0,2.01062e-22
105,0,5.90106e-22
106,0,2.59901e-22
107,0,6.59546e-22
108,0,8.70728e-22
109,0,5.24382e-22
110,0,1.40107e-21
111,0,1.70656e-22
