# Field snapshot at t = 100 seconds
# Grid: 64 x 64
# Columns: x  y  theta  R  mass  |psi|^2  psi_0_real  psi_0_imag  psi_1_real  psi_1_imag  psi_2_real  psi_2_imag  psi_3_real  psi_3_imag
0  0  0.056348  0.999449  2.498622  0.000180  -0.002520  0.007688  0.000652  -0.001670  0.006314  -0.006492  -0.005065  -0.001948
1  0  0.038556  0.999831  2.499578  0.000119  0.007293  -0.004973  -0.003314  0.000608  -0.001367  -0.000204  -0.001400  0.005127
2  0  0.025908  0.999761  2.499402  0.000180  0.000392  -0.007078  0.000847  -0.008387  0.003943  -0.001043  -0.004364  0.004839
3  0  0.070669  0.999656  2.499141  0.000191  0.001818  0.005452  -0.007273  0.006969  -0.004627  0.003480  -0.000117  -0.004826
4  0  -0.019776  0.999488  2.498720  0.000651  -0.005101  -0.014612  0.003648  -0.018244  0.000326  0.000040  -0.005897  0.005522
5  0  0.078359  0.999272  2.498180  0.000162  0.005511  -0.002355  -0.006355  0.002637  0.006445  0.000039  -0.003208  -0.005198
6  0  -0.078852  0.998963  2.497408  0.000354  -0.010121  -0.008407  0.005221  -0.006783  0.007047  0.005541  0.004477  -0.002756
7  0  -0.073532  0.999437  2.498591  0.000256  0.002918  0.005966  0.005226  -0.007944  -0.010304  -0.000269  0.002804  -0.002715
8  0  -0.061098  0.999396  2.498490  0.000278  -0.005829  0.002660  0.006001  -0.008301  -0.004862  0.007249  0.004108  0.006248
9  0  -0.026822  0.999439  2.498598  0.000171  -0.004891  -0.006740  0.000925  0.000843  0.008774  -0.003599  -0.002879  0.001413
10  0  0.005545  0.999508  2.498770  0.000161  0.002003  -0.004674  0.006199  0.000804  0.000850  -0.006292  0.005729  -0.004826
11  0  0.015023  0.999609  2.499022  0.000063  -0.000802  -0.005003  -0.001070  0.001479  -0.005388  0.000919  -0.000814  0.001818
12  0  -0.006379  0.999202  2.498004  0.000187  -0.007978  -0.002843  0.000233  0.001303  0.007896  -0.000421  0.007017  -0.001487
13  0  0.002184  0.998426  2.496064  0.000307  0.001415  0.009787  0.006700  0.002858  -0.006832  0.007938  0.006289  -0.002707
14  0  -0.095340  0.998990  2.497475  0.000161  -0.002721  -0.004206  0.001291  0.001178  -0.010959  -0.001225  0.002818  0.001867
15  0  -0.049863  0.999197  2.497992  0.000178  -0.004884  0.009645  0.005350  -0.003439  0.004130  0.001512  -0.001114  -0.000636
16  0  -0.021699  0.999815  2.499538  0.000335  -0.002305  -0.002649  0.006508  0.008178  0.007154  0.001621  -0.006726  0.010674
17  0  -0.070661  0.999646  2.499115  0.000098  0.003008  0.001350  0.001339  0.000715  -0.003598  -0.006435  -0.005507  -0.000675
