# x y z residual
8 4 16 0.000635821
12 4 16 0.000635821
16 4 16 0.000635821
20 4 16 0.000635821
24 4 16 0.000635821
28 4 16 0.000635821
0 8 16 0.000635821
4 8 16 0.000635821
8 8 16 0.000635821
12 8 16 0.000635821
16 8 16 0.000635821
20 8 16 0.000635821
24 8 16 0.000635821
28 8 16 0.000635821
0 12 16 0.000635821
4 12 16 0.000635821
8 12 16 0.000635821
12 12 16 0.000635821
16 12 16 0.000635821
20 12 16 0.000635821
24 12 16 0.000635821
28 12 16 0.000635821
0 16 16 0.000635821
4 16 16 0.000635821
8 16 16 0.000635821
12 16 16 0.000635821
16 16 16 0.000635821
20 16 16 0.000635821
24 16 16 0.000635821
28 16 16 0.000635821
0 20 16 0.000635821
4 20 16 0.000635821
8 20 16 0.000635821
12 20 16 0.000635821
16 20 16 0.000635821
20 20 16 0.000635821
24 20 16 0.000635821
28 20 16 0.000635821
0 24 16 0.000635821
4 24 16 0.000635821
8 24 16 0.000635821
12 24 16 0.000635821
16 24 16 0.000635821
20 24 16 0.000635821
24 24 16 0.000635821
28 24 16 0.000635821
0 28 16 0.000635821
4 28 16 0.000635821
8 28 16 0.000635821
12 28 16 0.000635821
16 28 16 0.000635821
20 28 16 0.000635821
24 28 16 0.000635821
28 28 16 0.000635821
0 0 20 0.000635821
4 0 20 0.000635821
8 0 20 0.000635821
12 0 20 0.000635821
16 0 20 0.000635821
20 0 20 0.000635821
24 0 20 0.000635821
28 0 20 0.000635821
0 4 20 0.000635821
4 4 20 0.000635821
8 4 20 0.000635821
12 4 20 0.000635821
16 4 20 0.000635821
20 4 20 0.000635821
24 4 20 0.000635821
28 4 20 0.000635821
0 8 20 0.000635821
4 8 20 0.000635821
8 8 20 0.000635821
12 8 20 0.000635821
16 8 20 0.000635821
20 8 20 0.000635821
24 8 20 0.000635821
28 8 20 0.000635821
0 12 20 0.000635821
4 12 20 0.000635821
8 12 20 0.000635821
12 12 20 0.000635821
16 12 20 0.000635821
20 12 20 0.000635821
24 12 20 0.000635821
28 12 20 0.000635821
0 16 20 0.000635821
4 16 20 0.000635821
8 16 20 0.000635821
12 16 20 0.000635821
16 16 20 0.000635821
20 16 20 0.000635821
24 16 20 0.000635821
28 16 20 0.000635821
0 20 20 0.000635821
4 20 20 0.000635821
8 20 20 0.000635821
12 20 20 0.000635821
16 20 20 0.000635821
20 20 20 0.000635821
24 20 20 0.000635821
28 20 20 0.000635821
0 24 20 0.000635821
4 24 20 0.000635821
8 24 20 0.000635821
12 24 20 0.000635821
16 24 20 0.000635821
20 24 20 0.000635821
24 24 20 0.000635821
28 24 20 0.000635821
0 28 20 0.000635821
4 28 20 0.000635821
8 28 20 0.000635821
12 28 20 0.000635821
16 28 20 0.000635821
20 28 20 0.000635821
24 28 20 0.000635821
28 28 20 0.000635821
0 0 24 0.000635821
4 0 24 0.000635821
8 0 24 0.000635821
12 0 24 0.000635821
16 0 24 0.000635821
20 0 24 0.000635821
24 0 24 0.000635821
28 0 24 0.000635821
0 4 24 0.000635821
4 4 24 0.000635821
8 4 24 0.000635821
12 4 24 0.000635821
16 4 24 0.000635821
20 4 24 0.000635821
24 4 24 0.000635821
28 4 24 0.000635821
0 8 24 0.000635821
4 8 24 0.000635821
8 8 24 0.000635821
12 8 24 0.000635821
16 8 24 0.000635821
20 8 24 0.000635821
24 8 24 0.000635821
28 8 24 0.000635821
0 12 24 0.000635821
4 12 24 0.000635821
8 12 24 0.000635821
12 12 24 0.000635821
16 12 24 0.000635821
20 12 24 0.000635821
24 12 24 0.000635821
28 12 24 0.000635821
0 16 24 0.000635821
4 16 24 0.000635821
8 16 24 0.000635821
12 16 24 0.000635821
16 16 24 0.000635821
20 16 24 0.000635821
24 16 24 0.000635821
28 16 24 0.000635821
0 20 24 0.000635821
4 20 24 0.000635821
8 20 24 0.000635821
12 20 24 0.000635821
16 20 24 0.000635821
20 20 24 0.000635821
24 20 24 0.000635821
28 20 24 0.000635821
0 24 24 0.000635821
4 24 24 0.000635821
8 24 24 0.000635821
12 24 24 0.000635821
16 24 24 0.000635821
20 24 24 0.000635821
24 24 24 0.000635821
28 24 24 0.000635821
0 28 24 0.000635821
4 28 24 0.000635821
8 28 24 0.000635821
12 28 24 0.000635821
16 28 24 0.000635821
20 28 24 0.000635821
24 28 24 0.000635821
28 28 24 0.000635821
0 0 28 0.000635821
4 0 28 0.000635821
8 0 28 0.000635821
12 0 28 0.000635821
16 0 28 0.000635821
20 0 28 0.000635821
24 0 28 0.000635821
28 0 28 0.000635821
0 4 28 0.000635821
4 4 28 0.000635821
8 4 28 0.000635821
12 4 28 0.000635821
16 4 28 0.000635821
20 4 28 0.000635821
24 4 28 0.000635821
28 4 28 0.000635821
0 8 28 0.000635821
4 8 28 0.000635821
8 8 28 0.000635821
12 8 28 0.000635821
16 8 28 0.000635821
20 8 28 0.000635821
24 8 28 0.000635821
28 8 28 0.000635821
0 12 28 0.000635821
4 12 28 0.000635821
8 12 28 0.000635821
12 12 28 0.000635821
16 12 28 0.000635821
20 12 28 0.000635821
24 12 28 0.000635821
28 12 28 0.000635821
0 16 28 0.000635821
4 16 28 0.000635821
8 16 28 0.000635821
12 16 28 0.000635821
16 16 28 0.000635821
20 16 28 0.000635821
24 16 28 0.000635821
28 16 28 0.000635821
0 20 28 0.000635821
4 20 28 0.000635821
8 20 28 0.000635821
12 20 28 0.000635821
16 20 28 0.000635821
20 20 28 0.000635821
24 20 28 0.000635821
28 20 28 0.000635821
0 24 28 0.000635821
4 24 28 0.000635821
8 24 28 0.000635821
12 24 28 0.000635821
16 24 28 0.000635821
20 24 28 0.000635821
24 24 28 0.000635821
28 24 28 0.000635821
0 28 28 0.000635821
4 28 28 0.000635821
8 28 28 0.000635821
12 28 28 0.000635821
16 28 28 0.000635821
20 28 28 0.000635821
24 28 28 0.000635821
28 28 28 0.000635821
