# step dp_dt_x dp_dt_y F_x F_y ratio_x ratio_y
8700 -1.02537 0.217684 0.016798 0.0564613 -61.041 3.85545
8800 -1.12 0.277998 0.0258466 -0.127227 -43.3324 -2.18506
8900 -1.20381 0.321651 0.0403805 0.0424789 -29.8116 7.57203
9000 -1.25886 0.311211 0.0117549 0.00364307 -107.093 85.4255
9100 -1.27206 0.286308 0.0200684 5.75789e-05 -63.3865 4972.45
9200 -1.2127 0.261677 0.00138507 3.30517e-05 -875.552 7917.2
9300 -1.06196 0.214821 0.000202879 1.12149e-05 -5234.44 19154.9
9400 -0.882174 0.144543 3.89019e-05 3.28267e-06 -22676.9 44032
9500 -0.752209 0.0799713 9.10499e-06 9.35749e-07 -82615 0
9600 -0.676287 0.0426254 2.37643e-06 2.52496e-07 -284581 0
9700 -0.639614 0.0305481 2.30209e-06 2.52487e-07 -277841 0
9800 -0.659227 0.0337906 6.23772e-07 8.91102e-08 0 0
9900 -0.727308 0.0483818 1.78215e-07 4.45536e-08 0 0
10000 -0.77574 0.0683823 1.78208e-07 4.4552e-08 0 0
10100 -0.73793 0.0873184 4.45504e-08 1.48501e-08 0 0
10200 -0.597095 0.0970802 -0 4.45488e-08 0 0
10300 -0.387293 0.0949364 -0 4.45474e-08 0 0
10400 -0.14497 0.0930786 -0 4.45459e-08 0 0
10500 0.0905952 0.0928612 -0 4.45444e-08 0 0
10600 0.280088 0.0874634 4.45426e-08 1.48475e-08 0 0
10700 0.397703 0.0706291 4.45412e-08 1.48471e-08 0 0
10800 0.434454 0.049839 2.37544e-07 2.96931e-08 0 0
10900 0.416353 0.0304642 2.2269e-07 2.96921e-08 0 0
11000 0.368355 0.0130997 2.22684e-07 2.96912e-08 0 0
11100 0.303368 9.53674e-05 7.42253e-07 5.93803e-08 0 0
11200 0.239243 -0.0098381 7.42229e-07 5.93783e-08 0 0
11300 0.190561 -0.0164604 7.57046e-07 5.93762e-08 0 0
11400 0.160009 -0.021553 7.57022e-07 5.93743e-08 0 0
11500 0.139088 -0.0289688 7.42152e-07 5.93721e-08 0 0
11600 0.123886 -0.0340614 7.42127e-07 5.93702e-08 0 0
11700 0.12059 -0.0299568 7.27259e-07 5.93681e-08 0 0
11800 0.120779 -0.0173264 2.67148e-06 1.9294e-07 45210.6 0
11900 0.120972 0.00286484 2.62685e-06 1.6325e-07 46052 0
12000 0.126007 0.0260925 2.65645e-06 1.92927e-07 47434.3 0
12100 0.143347 0.0481911 2.73055e-06 1.92919e-07 52497.4 0
12200 0.169601 0.0581093 2.70078e-06 1.92913e-07 62797.1 0
12300 0.200373 0.0525055 2.65617e-06 1.63229e-07 75436.6 0
12400 0.236071 0.0361862 1.01495e-05 6.67731e-07 23259.3 0
12500 0.271544 0.0119591 1.02678e-05 6.82545e-07 26446 0
12600 0.296513 -0.013073 9.51083e-06 6.38012e-07 31176.3 0
12700 0.304222 -0.0357628 3.53715e-05 1.98816e-06 8600.77 -17987.9
12800 0.292236 -0.0503883 4.32187e-05 2.13646e-06 6761.8 -23585
12900 0.259764 -0.057827 3.67193e-05 2.07705e-06 7074.32 -27840.9
13000 0.209934 -0.0605583 2.92704e-05 1.95829e-06 7172.23 -30924.2
13100 0.146511 -0.0584946 3.29041e-05 1.92855e-06 4452.67 -30330.8
