# step E_total KE PE <beta> norm
11400 0.69757 0.201071 0.496499 0.996135 0.996138
11500 0.697794 0.201334 0.49646 0.996099 0.9961
11600 0.699273 0.201375 0.497898 0.996066 0.996064
11700 0.698865 0.201362 0.497503 0.996031 0.996031
11800 0.697878 0.20139 0.496488 0.995999 0.995997
11900 0.698115 0.201632 0.496483 0.995959 0.995964
12000 0.699479 0.201681 0.497798 0.99593 0.995929
12100 0.699054 0.201664 0.497389 0.995892 0.995893
12200 0.697609 0.20172 0.495889 0.99586 0.995862
12300 0.697468 0.202176 0.495292 0.995826 0.995825
12400 0.699906 0.202383 0.497523 0.995793 0.995791
12500 0.699427 0.202361 0.497066 0.995757 0.995763
12600 0.696787 0.202387 0.4944 0.995727 0.995725
12700 0.695546 0.202888 0.492658 0.995697 0.995692
12800 0.700037 0.203222 0.496816 0.995661 0.995662
12900 0.700515 0.203205 0.497311 0.995632 0.995626
13000 0.698688 0.203126 0.495562 0.995593 0.995588
13100 0.697451 0.203195 0.494257 0.995561 0.995558
13200 0.699863 0.203389 0.496475 0.995523 0.995523
13300 0.701023 0.203416 0.497607 0.995489 0.99549
13400 0.700259 0.203367 0.496892 0.995454 0.995457
13500 0.698927 0.203474 0.495453 0.995422 0.995424
13600 0.699363 0.204182 0.495181 0.995385 0.995389
13700 0.701789 0.204503 0.497287 0.995352 0.995353
13800 0.701219 0.204462 0.496757 0.995314 0.995317
13900 0.698871 0.204472 0.4944 0.995284 0.995283
14000 0.698309 0.205633 0.492675 0.995252 0.99525
14100 0.702764 0.206577 0.496187 0.995215 0.995217
14200 0.703672 0.20659 0.497082 0.995183 0.995186
14300 0.701633 0.206429 0.495204 0.995151 0.995151
14400 0.700657 0.20704 0.493617 0.995116 0.995116
14500 0.703645 0.207913 0.495732 0.995084 0.995076
14600 0.705289 0.207982 0.497307 0.99505 0.995051
14700 0.704225 0.207981 0.496244 0.995017 0.995013
14800 0.702953 0.208317 0.494637 0.994978 0.994979
14900 0.704144 0.208826 0.495318 0.994947 0.994946
15000 0.70613 0.208937 0.497193 0.994911 0.994907
15100 0.705154 0.208924 0.496231 0.994877 0.994875
15200 0.702818 0.209108 0.49371 0.994839 0.99484
15300 0.702693 0.209776 0.492917 0.994807 0.994807
15400 0.706816 0.210083 0.496733 0.994772 0.994772
15500 0.706486 0.210033 0.496454 0.994736 0.994737
15600 0.703909 0.209987 0.493922 0.994705 0.994706
15700 0.702699 0.210474 0.492225 0.994672 0.994674
15800 0.707113 0.210874 0.496239 0.994638 0.994631
15900 0.707721 0.210825 0.496896 0.994605 0.994603
16000 0.706073 0.210705 0.495368 0.99457 0.994571
16100 0.704669 0.210833 0.493836 0.994537 0.994538
16200 0.706953 0.211003 0.49595 0.994499 0.994498
16300 0.708058 0.210955 0.497103 0.994469 0.994464
16400 0.707158 0.210864 0.496294 0.994433 0.994432
16500 0.705919 0.210841 0.495079 0.994401 0.994398
16600 0.706505 0.210981 0.495524 0.994363 0.994371
16700 0.708053 0.210989 0.497064 0.994334 0.994336
16800 0.707621 0.210956 0.496665 0.994297 0.994293
16900 0.706548 0.210859 0.495689 0.994265 0.994262
17000 0.706308 0.210909 0.495399 0.994231 0.99423
17100 0.707863 0.210981 0.496882 0.994193 0.994198
17200 0.70772 0.21096 0.496761 0.994167 0.994162
17300 0.706762 0.210885 0.495877 0.994128 0.994129
17400 0.706173 0.210897 0.495276 0.994094 0.994096
17500 0.707613 0.211011 0.496602 0.994059 0.994063
17600 0.707849 0.210999 0.49685 0.994026 0.994027
17700 0.707182 0.210934 0.496248 0.993988 0.993988
17800 0.706367 0.210911 0.495457 0.993956 0.99396
17900 0.7072 0.211035 0.496165 0.993922 0.993925
18000 0.707926 0.211045 0.496881 0.993889 0.993889
18100 0.707449 0.211003 0.496446 0.993855 0.993859
18200 0.70663 0.210973 0.495657 0.993823 0.993822
18300 0.706934 0.211042 0.495892 0.993789 0.993789
18400 0.707838 0.211045 0.496793 0.993755 0.993755
18500 0.707447 0.211021 0.496426 0.993722 0.993721
18600 0.706436 0.21102 0.495416 0.993688 0.993686
18700 0.706544 0.211202 0.495342 0.993654 0.993652
18800 0.707871 0.211252 0.496618 0.99362 0.99362
18900 0.707405 0.211226 0.496179 0.993584 0.993582
19000 0.705724 0.211262 0.494462 0.99355 0.993551
19100 0.705715 0.211671 0.494044 0.993515 0.993514
19200 0.708154 0.211831 0.496323 0.993485 0.993484
19300 0.707988 0.211808 0.49618 0.993449 0.993446
19400 0.706376 0.211802 0.494574 0.993415 0.993411
19500 0.705782 0.212187 0.493595 0.993382 0.99338
19600 0.708298 0.212509 0.495789 0.993348 0.993347
19700 0.70891 0.212519 0.496391 0.993315 0.993315
19800 0.707624 0.212453 0.495171 0.993281 0.993281
19900 0.706074 0.21261 0.493463 0.993246 0.993243
20000 0.707657 0.213143 0.494515 0.993214 0.993211
20100 0.709741 0.213281 0.49646 0.993177 0.993179
20200 0.709033 0.213238 0.495795 0.993146 0.993146
20300 0.707666 0.213188 0.494477 0.993112 0.993108
20400 0.707947 0.2134 0.494547 0.993078 0.993078
20500 0.70992 0.213589 0.496331 0.993044 0.993045
20600 0.709745 0.213576 0.496169 0.993009 0.99301
20700 0.709002 0.213573 0.49543 0.992977 0.99298
20800 0.708873 0.213663 0.49521 0.99294 0.992945
20900 0.709911 0.213699 0.496212 0.992912 0.992911
21000 0.709978 0.213689 0.49629 0.992873 0.992877
21100 0.709477 0.213687 0.49579 0.99284 0.992839
21200 0.709031 0.213846 0.495185 0.992806 0.992807
21300 0.709825 0.214046 0.495779 0.992774 0.992774
21400 0.710368 0.21406 0.496308 0.992739 0.992739
21500 0.709967 0.214021 0.495946 0.992707 0.992706
21600 0.709326 0.213997 0.495329 0.992675 0.992672
21700 0.709593 0.214122 0.495471 0.992637 0.992642
21800 0.710424 0.214177 0.496247 0.992606 0.992607
21900 0.710267 0.214154 0.496112 0.992573 0.992574
22000 0.709855 0.214104 0.49575 0.99254 0.99254
22100 0.709755 0.21412 0.495635 0.992503 0.992505
22200 0.710309 0.214163 0.496147 0.992468 0.992465
22300 0.710298 0.214151 0.496147 0.992433 0.992438
22400 0.710041 0.214125 0.495916 0.992402 0.9924
22500 0.709843 0.214126 0.495718 0.992367 0.992369
22600 0.710185 0.214157 0.496028 0.992337 0.992334
22700 0.710266 0.21415 0.496116 0.992298 0.992299
22800 0.710081 0.214131 0.49595 0.992268 0.992265
22900 0.709872 0.214127 0.495745 0.992232 0.992229
23000 0.710065 0.214154 0.495911 0.992197 0.992198
23100 0.710217 0.214152 0.496065 0.992165 0.992164
23200 0.710091 0.214139 0.495953 0.992134 0.992131
23300 0.709906 0.214135 0.495771 0.992098 0.992099
23400 0.709982 0.214171 0.495812 0.992063 0.992059
23500 0.710179 0.214186 0.495994 0.992028 0.99203
23600 0.71009 0.214176 0.495914 0.991995 0.991992
23700 0.709841 0.21417 0.495671 0.991961 0.991964
23800 0.709671 0.214217 0.495454 0.991927 0.99193
23900 0.710108 0.214276 0.495832 0.991893 0.99189
24000 0.710121 0.214271 0.49585 0.991861 0.991864
24100 0.709753 0.214259 0.495494 0.991828 0.99183
24200 0.709408 0.214308 0.4951 0.99179 0.991795
