# step x y dist
18100 74.4602 63.7044 10.4643
18200 74.8702 63.6541 10.8757
18300 75.2383 63.5922 11.2457
18400 75.5542 63.5104 11.5645
18500 75.8225 63.4034 11.8375
18600 76.0635 63.27 12.0856
18700 76.2964 63.1094 12.3286
18800 76.5275 62.9326 12.5729
18900 76.7717 62.7794 12.8299
19000 77.0519 62.6793 13.1186
19100 77.3712 62.6184 13.4424
19200 77.706 62.5953 13.7778
19300 78.0398 62.6186 14.1076
19400 78.3701 62.6224 14.436
19500 78.6921 62.552 14.7633
19600 78.9867 62.4237 15.0694
19700 79.2625 62.255 15.362
19800 79.5171 62.011 15.6441
19900 79.7514 61.7957 15.9049
20000 79.9778 61.6998 16.1425
20100 80.1658 61.7273 16.3248
20200 80.1979 61.8582 16.3389
20300 80.0981 62.0533 16.2154
20400 80.0468 62.243 16.1427
20500 79.7701 62.39 15.852
20600 78.9134 62.4631 14.9924
20700 77.7824 62.4274 13.8719
20800 76.8749 62.2974 12.987
20900 75.8783 62.1381 12.0234
21000 74.4215 61.9881 10.6139
21100 72.7683 61.8723 9.02279
21200 71.1 61.843 7.42041
21300 69.3326 61.8363 5.75483
21400 67.476 61.8144 4.10604
21500 65.6618 61.8148 2.74523
21600 64.0874 61.828 2.1738
21700 62.9051 61.8401 2.42155
21800 62.1401 61.8578 2.83695
21900 61.7741 61.8921 3.06566
22000 61.7845 61.9679 3.00626
22100 61.9705 62.0566 2.80995
22200 62.0571 62.1483 2.68393
22300 61.8877 62.2417 2.7483
22400 61.5427 62.3033 2.98616
22500 61.0726 62.3362 3.36719
22600 60.4689 62.376 3.88663
22700 59.8028 62.4115 4.48769
22800 59.1841 62.3974 5.07556
22900 58.6384 62.3908 5.59789
23000 58.1395 62.4431 6.06373
23100 57.6935 62.4892 6.48498
23200 57.3213 62.5279 6.83899
23300 56.9958 62.6119 7.1404
23400 56.7085 62.7209 7.40286
23500 56.4866 62.8318 7.60364
23600 56.3369 62.9137 7.73974
23700 56.2105 62.9822 7.85574
23800 56.0729 63.0673 7.98177
23900 55.9491 63.1593 8.09472
24000 55.8018 63.2267 8.23458
24100 55.5791 63.2819 8.4515
24200 55.2889 63.3516 8.73517
24300 55.0358 63.424 8.98264
24400 54.858 63.4843 9.1565
24500 54.7395 63.5538 9.27123
24600 54.6631 63.6307 9.34421
24700 54.6434 63.6932 9.3616
24800 54.6699 63.7183 9.33435
24900 54.7422 63.7311 9.26173
25000 54.855 63.7951 9.14732
25100 55.0236 63.9073 8.97684
25200 55.2653 64.0207 8.73474
25300 55.6097 64.1179 8.39108
25400 56.0218 64.2526 7.98223
25500 56.4575 64.4284 7.55469
25600 56.8683 64.5803 7.15529
25700 57.2126 64.7254 6.82609
25800 57.4911 64.8957 6.57028
25900 57.6987 65.0764 6.39255
26000 57.8501 65.222 6.27018
26100 57.9865 65.3319 6.15924
26200 58.148 65.4215 6.02216
26300 58.3888 65.4872 5.80498
26400 58.7236 65.5308 5.49399
26500 59.1331 65.5604 5.11096
26600 59.5835 65.58 4.69066
26700 60.0759 65.5811 4.23069
26800 60.5969 65.5791 3.75158
26900 61.1173 65.59 3.29209
27000 61.6225 65.6165 2.87502
27100 62.1092 65.6379 2.50159
27200 62.5596 65.653 2.19252
27300 62.9603 65.6519 1.95184
27400 63.3139 65.6444 1.78177
27500 63.6336 65.6425 1.68287
27600 63.8949 65.6406 1.64398
27700 64.0953 65.6464 1.64919
27800 64.2268 65.6555 1.67093
27900 64.3292 65.681 1.7129
28000 64.405 65.7058 1.75325
28100 64.4678 65.7228 1.78519
28200 64.5464 65.7335 1.81755
28300 64.68 65.7335 1.86208
28400 64.8857 65.7189 1.9337
28500 65.1268 65.7005 2.03996
28600 65.3838 65.6775 2.1746
28700 65.6699 65.6432 2.34277
28800 65.9888 65.5887 2.54541
28900 66.341 65.5231 2.79285
29000 66.7099 65.4565 3.07648
29100 67.1123 65.3813 3.40505
29200 67.5477 65.3096 3.78168
29300 67.9939 65.2364 4.18088
29400 68.405 65.1715 4.5581
29500 68.7444 65.1047 4.87128
29600 68.9931 65.0351 5.09929
29700 69.1653 64.9713 5.25579
29800 69.2883 64.91 5.36603
29900 69.4046 64.8481 5.47078
30000 69.5576 64.7859 5.61285
30100 69.7835 64.7337 5.82983
30200 70.1077 64.6958 6.14725
30300 70.5284 64.6615 6.56185
30400 71.0027 64.6251 7.03051
30500 71.4832 64.5929 7.50663
30600 71.9225 64.5573 7.94206
30700 72.2874 64.528 8.30425
30800 72.5715 64.4912 8.58553
30900 72.8201 64.447 8.83146
31000 73.0372 64.3898 9.04556
31100 73.2355 64.3189 9.24101
31200 73.4277 64.2297 9.43054
31300 73.6685 64.1098 9.66916
31400 73.9775 63.9672 9.97753
31500 74.321 63.806 10.3228
31600 74.6605 63.638 10.6667
31700 74.9954 63.4718 11.0081
31800 75.3721 63.3294 11.3919
31900 75.7443 63.2189 11.7702
