K,Delta,separation,m1,m2,m3,m2_m1,m3_m2,R_std,grad_mag
10,5,100,0.0244136,1.24814,1.89513,51.125,1.51836,7.01888e-06,0
10,5,120,0.0244136,1.59089,2.51872,65.1643,1.58321,7.01888e-06,0
10,5,140,0.0244136,2.09145,3.17089,85.6673,1.51612,7.01888e-06,0
10,5,160,0.0244136,2.48465,3.76274,101.773,1.5144,7.01888e-06,0
10,5,180,0.0244136,2.86252,4.36421,117.251,1.5246,7.01888e-06,0
10,5,200,0.0244136,3.18452,4.53368,130.441,1.42366,7.01888e-06,0
