step,time,R_avg,R_std,norm,energy,max_density
0,0,0.968129,0.11787,1,2.44402,0.035367
10,0.1,0.968264,0.117609,0.999998,2.44562,0.0352879
20,0.2,0.96818,0.117775,0.999995,2.45111,0.0351074
30,0.3,0.968123,0.117713,0.999993,2.46902,0.0348454
40,0.4,0.968004,0.118297,0.99999,2.48037,0.0344826
50,0.5,0.968165,0.117827,0.999989,2.50352,0.0339632
60,0.6,0.968149,0.117885,0.999987,2.52129,0.0332111
70,0.7,0.96821,0.117603,0.999985,2.55036,0.0321546
80,0.8,0.967979,0.118351,0.999984,2.57237,0.0307646
90,0.9,0.968179,0.117765,0.99998,2.60679,0.0304907
100,1,0.968181,0.117707,0.99998,2.63395,0.0308782
110,1.1,0.968116,0.118046,0.999976,2.65379,0.0309671
120,1.2,0.968257,0.117641,0.999975,2.67925,0.0306865
130,1.3,0.968044,0.118014,0.999971,2.7035,0.0299851
140,1.4,0.96824,0.117455,0.99997,2.73022,0.0288417
150,1.5,0.96813,0.117783,0.999968,2.74477,0.0272733
160,1.6,0.968197,0.117732,0.999964,2.76709,0.025798
170,1.7,0.968073,0.118239,0.999963,2.77825,0.0263291
180,1.8,0.968257,0.117516,0.99996,2.79298,0.0284463
190,1.9,0.968133,0.117927,0.999959,2.80761,0.0304641
200,2,0.968106,0.118004,0.999955,2.81797,0.0320186
210,2.1,0.968118,0.118034,0.999953,2.83558,0.0328983
220,2.2,0.968186,0.117841,0.999952,2.84078,0.0330028
230,2.3,0.968198,0.117702,0.999949,2.85227,0.0323859
240,2.4,0.968192,0.117749,0.999947,2.8616,0.0312087
250,2.5,0.968202,0.117623,0.999945,2.87548,0.0297429
260,2.6,0.968223,0.117693,0.999944,2.88385,0.0282701
270,2.7,0.968058,0.118056,0.999942,2.88894,0.0270325
280,2.8,0.968146,0.117765,0.999939,2.90114,0.0261756
290,2.9,0.967981,0.118313,0.999937,2.90644,0.0257458
300,3,0.968175,0.117719,0.999934,2.91374,0.0256967
310,3.1,0.968112,0.117911,0.999931,2.91709,0.0258907
320,3.2,0.96823,0.117748,0.999931,2.92429,0.0261412
330,3.3,0.96804,0.117932,0.999927,2.92224,0.026243
340,3.4,0.968129,0.117924,0.999924,2.92778,0.0260505
350,3.5,0.968182,0.11767,0.999921,2.93403,0.0254708
360,3.6,0.968201,0.117677,0.99992,2.93682,0.0244894
370,3.7,0.9681,0.117959,0.999916,2.94263,0.0231612
380,3.8,0.968236,0.117571,0.999913,2.94503,0.0216039
390,3.9,0.968158,0.117834,0.999912,2.95069,0.0199625
400,4,0.968187,0.117586,0.999908,2.95469,0.0183978
410,4.1,0.968119,0.118033,0.999906,2.96068,0.0170323
420,4.2,0.968189,0.117817,0.999905,2.96185,0.0159339
430,4.3,0.968108,0.117924,0.999902,2.96297,0.0151288
440,4.4,0.968283,0.117456,0.999899,2.96566,0.0145911
450,4.5,0.968147,0.117665,0.999896,2.97005,0.0142638
460,4.6,0.968239,0.117507,0.999893,2.97256,0.0140744
470,4.7,0.968165,0.117811,0.999891,2.97339,0.0139522
480,4.8,0.968156,0.117862,0.999889,2.97411,0.0138334
490,4.9,0.968153,0.117827,0.999887,2.97585,0.013671
500,5,0.968267,0.117573,0.999884,2.97849,0.0134375
510,5.1,0.968041,0.118114,0.999882,2.97917,0.0131269
520,5.2,0.968133,0.117908,0.999877,2.97919,0.0127432
530,5.3,0.968163,0.117806,0.999876,2.98155,0.0123014
540,5.4,0.96819,0.117784,0.999874,2.98312,0.0118124
550,5.5,0.96813,0.117865,0.99987,2.98223,0.0112929
560,5.6,0.9682,0.117679,0.999866,2.9832,0.0107601
570,5.7,0.968162,0.117789,0.999864,2.98595,0.0102365
580,5.8,0.968306,0.117526,0.999862,2.98583,0.0097907
