step,time,R_avg,R_std,norm,energy,max_density
1000,10,0.96816,0.117979,0.999747,2.99469,0.00608576
1010,10.1,0.968123,0.117779,0.999745,2.99453,0.0058632
1020,10.2,0.968221,0.1177,0.999741,2.99471,0.0056654
1030,10.3,0.968103,0.118047,0.999739,2.99397,0.00558005
1040,10.4,0.968064,0.118212,0.999736,2.99403,0.00553808
1050,10.5,0.968212,0.117614,0.999734,2.99367,0.00552605
1060,10.6,0.968179,0.117673,0.999729,2.99381,0.00564076
1070,10.7,0.968145,0.117826,0.999727,2.99413,0.00579231
1080,10.8,0.968081,0.117954,0.999725,2.99435,0.00593534
1090,10.9,0.968228,0.11765,0.999723,2.99376,0.00602334
1100,11,0.968225,0.117589,0.99972,2.9939,0.00602771
1110,11.1,0.968214,0.117729,0.999714,2.99369,0.00592967
1120,11.2,0.968183,0.117806,0.999714,2.99399,0.0057358
1130,11.3,0.96817,0.117758,0.999711,2.99361,0.00547052
1140,11.4,0.968276,0.117414,0.999708,2.99466,0.00517887
1150,11.5,0.968219,0.117663,0.999706,2.99489,0.00510322
1160,11.6,0.968114,0.117948,0.999702,2.99422,0.00515986
1170,11.7,0.968243,0.117463,0.9997,2.99414,0.00517847
1180,11.8,0.968125,0.11776,0.999698,2.99468,0.0051516
1190,11.9,0.968198,0.117744,0.999694,2.99403,0.00507482
1200,12,0.968167,0.117711,0.999692,2.99398,0.00495378
1210,12.1,0.968158,0.11778,0.999687,2.9935,0.00506117
1220,12.2,0.968134,0.11777,0.999687,2.99293,0.00525152
1230,12.3,0.968172,0.117807,0.999685,2.99252,0.00538096
1240,12.4,0.96823,0.117722,0.999682,2.99347,0.00541961
1250,12.5,0.968145,0.117847,0.999677,2.99223,0.00535591
1260,12.6,0.968188,0.117569,0.999674,2.99192,0.00520023
1270,12.7,0.968229,0.117635,0.999672,2.99211,0.00497669
1280,12.8,0.968222,0.117791,0.99967,2.99204,0.00472666
1290,12.9,0.968224,0.117601,0.999666,2.99185,0.00461404
1300,13,0.968171,0.11773,0.999664,2.99169,0.00456511
1310,13.1,0.968219,0.117662,0.999663,2.99141,0.00451753
1320,13.2,0.96814,0.118117,0.999659,2.99288,0.00447334
1330,13.3,0.968138,0.117849,0.999655,2.99147,0.00438885
1340,13.4,0.968194,0.117651,0.999654,2.99106,0.00434162
1350,13.5,0.968256,0.117553,0.999652,2.99113,0.00446214
1360,13.6,0.968179,0.117706,0.99965,2.99082,0.00457179
1370,13.7,0.968168,0.117846,0.999646,2.99141,0.00463529
1380,13.8,0.9682,0.117583,0.999643,2.99127,0.00463595
1390,13.9,0.968175,0.117779,0.999642,2.99151,0.00456904
1400,14,0.968285,0.117497,0.999637,2.99121,0.00444685
1410,14.1,0.968262,0.11757,0.999637,2.98981,0.00429396
1420,14.2,0.968177,0.117757,0.999632,2.98956,0.00416764
1430,14.3,0.968307,0.117541,0.99963,2.99047,0.00411293
1440,14.4,0.968182,0.117822,0.999628,2.98937,0.00407718
1450,14.5,0.968187,0.117714,0.999626,2.99065,0.00403144
1460,14.6,0.968207,0.11758,0.999622,2.99002,0.00406929
1470,14.7,0.967984,0.118203,0.99962,2.98835,0.0041252
1480,14.8,0.9681,0.117875,0.999619,2.98942,0.00423497
1490,14.9,0.968211,0.117722,0.999615,2.9906,0.00432197
1500,15,0.968166,0.117806,0.999613,2.98951,0.00435791
1510,15.1,0.968085,0.118048,0.999611,2.98975,0.00432783
1520,15.2,0.967965,0.118397,0.999608,2.98966,0.00422777
1530,15.3,0.968198,0.117681,0.999604,2.99061,0.00407151
1540,15.4,0.968184,0.117729,0.999604,2.99084,0.00388576
1550,15.5,0.96823,0.117702,0.999599,2.99109,0.00378928
1560,15.6,0.968211,0.117743,0.999597,2.99144,0.00381292
1570,15.7,0.968076,0.11812,0.999598,2.99137,0.00381323
1580,15.8,0.968149,0.117904,0.999594,2.9922,0.00382189
1590,15.9,0.968336,0.117323,0.999591,2.99243,0.00381055
1600,16,0.968291,0.117448,0.999588,2.99242,0.00376656
1610,16.1,0.968044,0.118094,0.999586,2.99238,0.0038744
1620,16.2,0.968246,0.117631,0.999581,2.99259,0.00403547
1630,16.3,0.968223,0.117741,0.999579,2.99314,0.00415477
1640,16.4,0.968176,0.117742,0.999578,2.99288,0.00420449
1650,16.5,0.968295,0.117472,0.999576,2.99365,0.00417281
1660,16.6,0.968156,0.117813,0.999572,2.99385,0.0040605
1670,16.7,0.968224,0.117634,0.999569,2.9941,0.00388659
1680,16.8,0.968047,0.118128,0.999568,2.99378,0.00368063
1690,16.9,0.968037,0.118055,0.999565,2.99381,0.00357282
1700,17,0.968255,0.117663,0.999565,2.9948,0.00354693
1710,17.1,0.968174,0.11777,0.999561,2.99484,0.00352102
1720,17.2,0.968096,0.117895,0.999559,2.99423,0.00348279
1730,17.3,0.968063,0.117965,0.999556,2.99517,0.00345277
1740,17.4,0.968213,0.117617,0.999554,2.99499,0.00341201
1750,17.5,0.968099,0.117947,0.999552,2.99454,0.00355183
1760,17.6,0.968079,0.117876,0.999548,2.99479,0.00369275
1770,17.7,0.968099,0.117949,0.999547,2.99474,0.00379491
1780,17.8,0.968246,0.11757,0.999543,2.9949,0.00383448
1790,17.9,0.968122,0.117829,0.999541,2.99452,0.00380307
1800,18,0.96816,0.117845,0.999539,2.99438,0.00370694
1810,18.1,0.968123,0.11796,0.999537,2.99446,0.00356641
1820,18.2,0.968078,0.118152,0.999534,2.9946,0.00340706
1830,18.3,0.968237,0.117532,0.999532,2.99482,0.00326755
1840,18.4,0.968241,0.117726,0.999529,2.99499,0.00324566
1850,18.5,0.96816,0.117699,0.999526,2.99433,0.00321973
1860,18.6,0.96817,0.117715,0.999524,2.99441,0.00318299
1870,18.7,0.968056,0.118087,0.999523,2.99431,0.00323257
1880,18.8,0.968129,0.117962,0.999522,2.99453,0.00334465
1890,18.9,0.968138,0.117786,0.999517,2.9943,0.00345874
1900,19,0.968253,0.117421,0.999516,2.99406,0.00354652
1910,19.1,0.968161,0.117746,0.999511,2.99382,0.00358438
1920,19.2,0.968138,0.117862,0.999508,2.99393,0.00355796
1930,19.3,0.968221,0.117623,0.999506,2.99402,0.00347086
1940,19.4,0.968174,0.117961,0.999504,2.9943,0.00333732
1950,19.5,0.968145,0.117726,0.999502,2.99321,0.00318276
1960,19.6,0.968133,0.118026,0.999499,2.99427,0.00304448
1970,19.7,0.968264,0.117597,0.999495,2.99422,0.00304158
1980,19.8,0.968104,0.118053,0.999497,2.99355,0.00303612
1990,19.9,0.968093,0.118053,0.999492,2.99303,0.00303295
2000,20,0.968153,0.117896,0.999489,2.99392,0.00302993
2010,20.1,0.968084,0.118118,0.999488,2.9926,0.00316872
2020,20.2,0.968132,0.117774,0.999486,2.99263,0.00331901
2030,20.3,0.968169,0.117699,0.999483,2.9926,0.00344546
2040,20.4,0.968174,0.117777,0.999481,2.99216,0.00351952
2050,20.5,0.96817,0.117776,0.999478,2.99212,0.00352356
2060,20.6,0.968049,0.117952,0.999475,2.99158,0.00345145
2070,20.7,0.96808,0.1181,0.999474,2.99137,0.00331333
2080,20.8,0.968149,0.117801,0.999471,2.99169,0.00313362
2090,20.9,0.968262,0.117449,0.999467,2.9915,0.00294693
2100,21,0.968139,0.117805,0.999466,2.99156,0.00287285
