# Field snapshot at t = 10 seconds
# Grid: 64 x 64
# Columns: x  y  theta  R  mass  |psi|^2  psi_0_real  psi_0_imag  psi_1_real  psi_1_imag  psi_2_real  psi_2_imag  psi_3_real  psi_3_imag
45  0  -0.052329  0.999499  2.498749  0.000305  -0.003014  -0.005869  -0.008946  -0.005245  -0.007539  0.006560  0.007302  -0.000899
46  0  -0.006019  0.999674  2.499186  0.000562  -0.000713  -0.002890  0.014715  0.002951  0.004322  0.003510  -0.016238  0.005767
47  0  -0.024840  0.999551  2.498878  0.000154  -0.002203  -0.003964  -0.005436  0.003634  -0.008679  0.003646  0.001255  0.000771
48  0  -0.086845  0.999728  2.499320  0.000147  -0.003222  0.000660  0.003305  -0.001778  -0.007589  0.001941  -0.006086  -0.004822
49  0  -0.017666  0.999333  2.498333  0.000393  -0.007852  0.000113  -0.006105  0.013175  -0.005584  -0.007381  -0.003890  -0.004403
50  0  0.001969  0.999650  2.499125  0.000196  0.004063  0.004247  -0.006040  0.008512  0.002005  -0.005091  -0.004733  -0.000433
51  0  0.000212  0.999756  2.499389  0.000391  0.004071  0.006537  -0.000986  -0.001971  -0.017037  0.004604  0.003517  0.001695
52  0  0.005667  0.999657  2.499142  0.000349  -0.011534  -0.009311  0.002717  0.001855  -0.004351  -0.002560  -0.009550  -0.001244
53  0  0.041564  0.999587  2.498967  0.000146  0.000770  -0.001108  0.004276  0.000471  -0.007484  -0.005186  0.006458  0.001106
54  0  -0.025261  0.999274  2.498184  0.000848  -0.000283  0.001423  0.021095  -0.006358  0.006458  0.008095  0.014912  -0.005544
55  0  -0.074547  0.999589  2.498973  0.000093  0.000231  0.006177  -0.000938  -0.004813  -0.003650  0.001046  -0.003112  0.002512
56  0  -0.059195  0.999459  2.498648  0.000144  0.001466  0.001764  -0.000444  0.004026  0.004334  0.009336  0.003027  -0.002625
57  0  -0.015194  0.999723  2.499308  0.000147  0.001345  -0.005254  -0.001658  -0.005787  0.002788  0.006614  0.000774  0.005374
58  0  -0.009845  0.999784  2.499461  0.000214  0.003676  -0.001309  0.001545  0.008441  0.003959  0.009231  -0.004675  -0.001494
59  0  -0.030534  0.999726  2.499314  0.000147  -0.004159  -0.002244  0.001466  0.007371  0.003507  0.001301  0.007138  0.001689
60  0  -0.058677  0.999613  2.499032  0.000325  0.005089  0.003981  -0.000901  -0.004312  -0.013667  -0.002627  -0.005884  0.005942
61  0  -0.076876  0.999516  2.498790  0.000760  -0.000508  -0.000741  0.001169  -0.018082  0.016358  0.006512  0.003637  0.010394
62  0  -0.063588  0.999277  2.498194  0.000244  0.001945  0.005576  -0.012433  -0.002560  0.000732  -0.000888  -0.006270  -0.002648
63  0  0.054022  0.999187  2.497967  0.000211  0.006693  -0.000426  0.002986  -0.000909  0.008113  0.006097  0.002185  -0.006973
0  1  -0.000671  0.999766  2.499415  0.000097  0.000008  0.000959  0.007977  -0.001696  -0.002775  -0.002726  0.002648  0.002639
1  1  0.032546  0.999701  2.499253  0.000167  -0.002231  0.004557  0.007080  -0.003873  0.001581  0.003075  -0.006950  0.003979
2  1  0.001287  0.999460  2.498651  0.000151  0.000219  -0.003390  0.008389  -0.001513  0.001198  0.004772  -0.000214  -0.006496
3  1  -0.070175  0.999536  2.498840  0.000374  -0.005152  -0.001276  0.008597  0.006764  -0.003984  0.002753  0.013497  0.004518
